3MOBS,LEUabc,LEUt2r
ACACT1r,ACKr,EX_ac(e)
ACACT1r,ACKr,ACtr
ACACT1r,PTAr,EX_ac(e)
ACACT1r,PTAr,ACtr
ACCOAC,ACCOACL,MALCOAPYRCT
ACCOAC,MALCOAPYRCT,BTNCLi
ACGApts,EX_gam(e),GF6PTA
ACGApts,GAMpts,GF6PTA
ACGK,ARGSL,EX_orn(e)
ACGK,ARGSL,r1667
ACGK,ARGSSr,EX_orn(e)
ACGK,ARGSSr,r1667
ACGK,ASPCT,EX_orn(e)
ACGK,ASPCT,r1667
ACGK,DHORTS,EX_orn(e)
ACGK,DHORTS,r1667
ACGK,EX_arg_L(e),EX_orn(e)
ACGK,EX_arg_L(e),r1667
ACGK,EX_orn(e),EX_succ(e)
ACGK,EX_orn(e),OCBT
ACGK,EX_orn(e),OMPDC
ACGK,EX_orn(e),OROTPT
ACGK,EX_orn(e),SUCCt2r
ACGK,EX_succ(e),r1667
ACGK,OCBT,r1667
ACGK,OMPDC,r1667
ACGK,OROTPT,r1667
ACGK,SUCCt2r,r1667
ACHBPL,EX_ile_L(e),EX_3mop(e)
ACHBPL,EX_ile_L(e),3MOPt2r
ACHBPL,ILETA,EX_3mop(e)
ACHBPL,ILETA,3MOPt2r
ACKr,ECOAH1,EX_ac(e)
ACKr,ECOAH1,ACtr
ACKr,EX_ac(e),BTCOAACCOAT
ACKr,EX_ac(e),EX_but(e)
ACKr,EX_ac(e),BUTt2r
ACKr,ACtr,BTCOAACCOAT
ACKr,ACtr,EX_but(e)
ACKr,ACtr,BUTt2r
ACLS_a,EX_ile_L(e),EX_3mop(e)
ACLS_a,EX_ile_L(e),3MOPt2r
ACLS_a,ILETA,EX_3mop(e)
ACLS_a,ILETA,3MOPt2r
ACLS_a,VALabc,VALt2r
ACLS_b,VALabc,VALt2r
ACOAAGPAT180,STCOATA,AACPS6
ACODAr,ORNTAC,ARGt2
ACOTA,ARGSL,EX_orn(e)
ACOTA,ARGSL,r1667
ACOTA,ARGSSr,EX_orn(e)
ACOTA,ARGSSr,r1667
ACOTA,ASPCT,EX_orn(e)
ACOTA,ASPCT,r1667
ACOTA,DHORTS,EX_orn(e)
ACOTA,DHORTS,r1667
ACOTA,EX_arg_L(e),EX_orn(e)
ACOTA,EX_arg_L(e),r1667
ACOTA,EX_orn(e),EX_succ(e)
ACOTA,EX_orn(e),OCBT
ACOTA,EX_orn(e),OMPDC
ACOTA,EX_orn(e),OROTPT
ACOTA,EX_orn(e),SUCCt2r
ACOTA,EX_succ(e),r1667
ACOTA,OCBT,r1667
ACOTA,OMPDC,r1667
ACOTA,OROTPT,r1667
ACOTA,SUCCt2r,r1667
ADNUC,GNNUC,RPE
ADNUC,GNNUC,TKT2
ADNUC,IMPD,RPE
ADNUC,IMPD,TKT2
ADNUC,RPE,EX_gua(e)
ADNUC,RPE,GUAt
ADNUC,TKT2,EX_gua(e)
ADNUC,TKT2,GUAt
ADPT,ADSL2r,HXPRT
ADPT,GARFTi,HXPRT
ADPT,GLUPRT,HXPRT
ADPT,HXPRT,PRAGS
ADPT,HXPRT,PRAIS
ADPT,HXPRT,PRASCSi
ADPT,HXPRT,PRFGS
ADPT,HXPRT,H2CO3D
ADPT,HXPRT,AIRC4
ADSL1r,GNNUC,RPE
ADSL1r,GNNUC,TKT2
ADSL1r,IMPD,NTD11
ADSL1r,IMPD,RPE
ADSL1r,IMPD,TKT2
ADSL1r,IMPD,EX_ins(e)
ADSL1r,IMPD,INSt
ADSL1r,RPE,EX_gua(e)
ADSL1r,RPE,GUAt
ADSL1r,TKT2,EX_gua(e)
ADSL1r,TKT2,GUAt
ADSL2r,HXPRT,EX_ade(e)
ADSL2r,HXPRT,ADEt2r
ADSS,GNNUC,RPE
ADSS,GNNUC,TKT2
ADSS,IMPD,NTD11
ADSS,IMPD,RPE
ADSS,IMPD,TKT2
ADSS,IMPD,EX_ins(e)
ADSS,IMPD,INSt
ADSS,RPE,EX_gua(e)
ADSS,RPE,GUAt
ADSS,TKT2,EX_gua(e)
ADSS,TKT2,GUAt
AGPAT180,FACOAL180,STCOATA
AGPR,ARGSL,EX_orn(e)
AGPR,ARGSL,r1667
AGPR,ARGSSr,EX_orn(e)
AGPR,ARGSSr,r1667
AGPR,ASPCT,EX_orn(e)
AGPR,ASPCT,r1667
AGPR,DHORTS,EX_orn(e)
AGPR,DHORTS,r1667
AGPR,EX_arg_L(e),EX_orn(e)
AGPR,EX_arg_L(e),r1667
AGPR,EX_orn(e),EX_succ(e)
AGPR,EX_orn(e),OCBT
AGPR,EX_orn(e),OMPDC
AGPR,EX_orn(e),OROTPT
AGPR,EX_orn(e),SUCCt2r
AGPR,EX_succ(e),r1667
AGPR,OCBT,r1667
AGPR,OMPDC,r1667
AGPR,OROTPT,r1667
AGPR,SUCCt2r,r1667
ALACI,EX_val_L(e),KARA1
ALACI,KARA1,VALTA
AMPTASECG,ASAD,GHMT2r
AMPTASECG,EX_met_L(e),EX_cys_L(e)
AMPTASECG,EX_met_L(e),CYSt2r
AMPTASECG,GHMT2r,HSK
AMPTASECG,GHMT2r,THRAr
AMPTASECG,GHMT2r,THRS
AMPTASECG,GHMT2r,EX_acald(e)
AMPTASECG,GHMT2r,ACALDt
AMPTASECG,GHMT2r,ASPKi
AMPTASECG,METSr,EX_cys_L(e)
AMPTASECG,METSr,CYSt2r
ARGSL,EX_orn(e),ARGt2
ARGSL,r1667,ARGt2
ARGSSr,EX_orn(e),ARGt2
ARGSSr,r1667,ARGt2
