12DGR180ti,PAPA180
23DHMPO,KARA2
2AHBUTI,KARA2
2INSD,MALCOAPYRCT
AACPS6,FACOAL180
AACPS6,STCOATA
ACLS_a,LPAMS
ACLS_a,PDHa
ACLS_b,EX_val_L(e)
ACLS_b,VALTA
ACLS_b,VALt2r
ACOAAGPAT180,AGPAT180
ADK10,NDPK4
ADK3,NDPK1
ADOCBIK,ADOCBIK2
ALAR,DALAt2r
ALAR,EX_ala_D(e)
AMPMS2,EX_thm(e)
AMPMS2,HETZK
AMPMS2,HMPK1
AMPMS2,TMN
ANPRT,EX_trp_L(e)
ANPRT,TRPt2r
ARGDA,EX_orn(e)
ARGDA,ORNt2r
ARGSL,ARGt2r
ARGSL,EX_arg_L(e)
ARGSS,ARGt2r
ARGSS,EX_arg_L(e)
ARGt2r,EX_orn(e)
ARGt2r,ORNt2r
ASNt2r,EX_glyasn(e)
ASNt2r,GLYASN1c
ASNt2r,GLYASNabc
ASPTA,GLUDy
CHORS,EX_trp_L(e)
CHORS,TRPt2r
CYTDK3,UMPK
CYTDt2r,UMPK
CYTK1,NTD4
CYTK1,UMPK
D5KGK,MALCOAPYRCT
D5KGPA,MALCOAPYRCT
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DCTPD2,UMPK
DDPA,EX_trp_L(e)
DDPA,TRPt2r
DHAD1,EX_val_L(e)
DHAD1,VALTA
DHAD1,VALt2r
DHQS,EX_trp_L(e)
DHQS,TRPt2r
DHQTi,EX_trp_L(e)
DHQTi,TRPt2r
DM_4HBA,EX_thm(e)
DM_4HBA,HETZK
DM_4HBA,HMPK1
DM_4HBA,TMN
EX_12dgr180(e),PAPA180
EX_arg_L(e),EX_orn(e)
EX_arg_L(e),ORNt2r
EX_asn_L(e),EX_glyasn(e)
EX_asn_L(e),GLYASN1c
EX_asn_L(e),GLYASNabc
EX_cytd(e),UMPK
EX_glyc3p(e),EX_pi(e)
EX_inost(e),MALCOAPYRCT
EX_orn(e),OCBT
EX_pi(e),GLYC3Pt
EX_pi(e),TPI
EX_pydx(e),PLPS
EX_rib_D(e),RPE
EX_rib_D(e),RPI
EX_thm(e),GLUPRT
EX_thm(e),PRAGS
EX_thm(e),PRAIS
EX_thm(e),PRFGS
EX_thm(e),THZPSN
EX_thymd(e),TMDS
EX_trp_L(e),IGPS
EX_trp_L(e),PRAI
EX_trp_L(e),PSCVT
EX_trp_L(e),SHK3Dr
EX_trp_L(e),SHKK
EX_uri(e),UMPK
EX_val_L(e),VALTA
FE3abc,FE3t4
FTHFL,GHMT2r
FTHFL,MTHFC
GHMT2r,MTHFC
GK1,GK2
GLUPRT,HETZK
GLUPRT,HMPK1
GLUPRT,TMN
GMPS2,GUAPRT
HETZK,PRAGS
HETZK,PRAIS
HETZK,PRFGS
HETZK,THZPSN
HMPK1,PRAGS
HMPK1,PRAIS
HMPK1,PRFGS
HMPK1,THZPSN
IGPS,TRPt2r
INS2D,MALCOAPYRCT
INSTt2r,MALCOAPYRCT
Kt3r,ZN2t4
Kt3r,ZNabc
MALCOAPYRCT,MMSAD5
MNabc,MNt2
NADK,NADK2
NADS1,NADS2
NDPK9,UMPK
NTD2,UMPK
OCBT,ORNt2r
PLPS,PYDXK
PLPS,PYDXabc
PPNCL3,r0671
PRAGS,TMN
PRAI,TRPt2r
PRAIS,TMN
PRFGS,TMN
PSCVT,TRPt2r
RBK,RPE
RBK,RPI
RIBabc,RPE
RIBabc,RPI
RNDR1,RNTR1
RNDR3,RNTR3
SHK3Dr,TRPt2r
SHKK,TRPt2r
THMDt2r,TMDS
THZPSN,TMN
UMPK,URIt2r
VALTA,VALt2r
ZN2t4,ZNabc
