12DGR180ti,PAPA180
3OAR160,KAS_HP
3OAS160,KAS_HP
ACGAM2E,G1PACT
ACGAM2E,PGAMT
ACGAM2E,UAGDP
ACHBPL,EX_ile_L(e)
ACHBPL,ILETA
ACHBPL,ILEt2r
ACLS_a,EX_ile_L(e)
ACLS_a,EX_val_L(e)
ACLS_a,ILETA
ACLS_a,ILEt2r
ACLS_a,VALTA
ACLS_a,VALt2r
ACLS_b,EX_val_L(e)
ACLS_b,VALTA
ACLS_b,VALt2r
ACOAAGPAT180,AGPAT180
ADK10,NDPK4
ADK3,NDPK1
ADOCBIK,ADOCBIK2
AHEXASE3,G1PACT
AHEXASE3,PGAMT
AHEXASE3,UAGDP
ALAR,DALAt2r
ALAR,EX_ala_D(e)
ANS,ANS2
ARGSL,ARGt2r
ARGSL,EX_arg_L(e)
ARGSS,ARGt2r
ARGSS,EX_arg_L(e)
CHTBSabc,G1PACT
CHTBSabc,PGAMT
CHTBSabc,UAGDP
CTPS1,CTPS2
CYTK1,NTD4
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DHAD1,EX_val_L(e)
DHAD1,VALTA
DHAD1,VALt2r
DHAD2,EX_ile_L(e)
DHAD2,ILETA
DHAD2,ILEt2r
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
EX_12dgr180(e),PAPA180
EX_chtbs(e),G1PACT
EX_chtbs(e),PGAMT
EX_chtbs(e),UAGDP
EX_fe2(e),EX_fe3(e)
EX_fe2(e),FE2DH
EX_fe3(e),FE2abc
EX_glyc3p(e),EX_pi(e)
EX_ile_L(e),ILETA
EX_pi(e),GLYC3Pabc
EX_pi(e),TPI
EX_pydx(e),PLPS
EX_rib_D(e),RPE
EX_rib_D(e),RPI
EX_thymd(e),TMDS
EX_val_L(e),VALTA
FE2DH,FE2abc
FTHFL,MTHFC
G1PACT,UAG2EMA
GALK,PGMT
GK1,GK2
GMPS2,GUAPRT
ILETA,ILEt2r
Kt3r,ZN2t4
Kt3r,ZNabc
METFR,r0792
MG2abc,MGt5
MNabc,MNt2
NADK,NADK2
NADS1,NADS2
NDPK2,UTPATPT
PGAMT,UAG2EMA
PGMT,UDPG4E
PGMT,UGLT
PLPS,PYDXK
PLPS,PYDXabc
PPNCL3,r0671
RBK,RPE
RBK,RPI
RIBabc,RPE
RIBabc,RPI
RNDR1,RNTR1
RPE,TKT1
RPI,TKT1
THMDt2r,TMDS
THMabc,THMt3
TKT1,TKT2
TRPS1,TRPS2
TRPS1,TRPS3
UAG2EMA,UAGDP
VALTA,VALt2r
ZN2t4,ZNabc
