ACKr,ACt2r
ACKr,EX_ac(e)
ACKr,OAASr
ACt2r,OAASr
ACt2r,PTAr
ADAD,TRDRr
ADK10,NDPK4
ADK3,NDPK1
ALAHIS1c,EX_his_L(e)
ALAHIS1c,HISt2r
ALAHISabc,EX_his_L(e)
ALAHISabc,HISt2r
ALAR,DALAt2r
ALAR,EX_ala_D(e)
ALATHR1c,EX_thr_L(e)
ALATHR1c,THRt2r
ALATHRabc,EX_thr_L(e)
ALATHRabc,THRt2r
ASNt2r,EX_glyasn(e)
ASNt2r,GLYASN1c
ASNt2r,GLYASNabc
CYTDK3,UMPK
CYTDt2r,UMPK
CYTK1,NTD4
CYTK1,UMPK
CYTK2,TRDRr
DADNK,TRDRr
DCTPD2,UMPK
DCYTt2r,TRDRr
DGK1,TRDRr
DMPPS,DMPPS2r
EX_ac(e),OAASr
EX_ac(e),PTAr
EX_alahis(e),EX_his_L(e)
EX_alahis(e),HISt2r
EX_alathr(e),EX_thr_L(e)
EX_alathr(e),THRt2r
EX_asn_L(e),EX_glyasn(e)
EX_asn_L(e),GLYASN1c
EX_asn_L(e),GLYASNabc
EX_cytd(e),UMPK
EX_dcyt(e),TRDRr
EX_fe2(e),EX_fe3(e)
EX_fe2(e),FE2DH
EX_fe3(e),FE2abc
EX_glyphe(e),EX_phe_L(e)
EX_glyphe(e),PHEt2r
EX_glypro(e),EX_pro_L(e)
EX_glypro(e),PROt2r
EX_glytyr(e),EX_tyr_L(e)
EX_glytyr(e),TYRt2r
EX_phe_L(e),GLYPHEHYc
EX_phe_L(e),GLYPHEabc
EX_pro_L(e),GLYPROPRO1c
EX_pro_L(e),GLYPROabc
EX_pydx(e),PLPS
EX_ser_L(e),FTHFL
EX_ser_L(e),GHMT2r
EX_ser_L(e),MTHFC
EX_tyr_L(e),GLYTYR1c
EX_tyr_L(e),GLYTYRabc
EX_uri(e),UMPK
FE2DH,FE2abc
FTHFL,GHMT2r
FTHFL,MTHFC
FTHFL,SERt2r
GALK,PGMT
GHMT2r,MTHFC
GHMT2r,SERt2r
GK1,GK2
GLYPHEHYc,PHEt2r
GLYPHEabc,PHEt2r
GLYPROPRO1c,PROt2r
GLYPROabc,PROt2r
GLYTYR1c,TYRt2r
GLYTYRabc,TYRt2r
GMPS2,GUAPRT
IPDPS,IPDPS2
MG2abc,MGt5
MTHFC,SERt2r
NADK,NADK2
NADS1,NADS2
NDPK9,UMPK
NTD2,UMPK
OAASr,PTAr
PGMT,UDPG4E
PGMT,UGLT
PLPS,PYDXK
PLPS,PYDXabc
PPNCL3,r0671
RPE,RPI
RPE,TALA
RPE,TKT1
RPE,TKT2
RPI,TALA
RPI,TKT1
RPI,TKT2
TALA,TKT1
THMabc,THMt3
TKT1,TKT2
TMDK1,TMDK2
TRDRr,r0345
TRDRr,r0456
UMPK,URIt2r
