ACGApts,EX_gam(e),GF6PTA
ACGApts,GAMpts,GF6PTA
ACKr,ACONT,ACONTa
ACKr,ACONT,ACONTb
ACKr,ICDHy,r0082
ACKr,ICDHy,r0422
ACONT,ACONTa,ACt2r
ACONT,ACONTa,EX_ac(e)
ACONT,ACONTa,PTAr
ACONT,ACONTb,ACt2r
ACONT,ACONTb,EX_ac(e)
ACONT,ACONTb,PTAr
ACt2r,ICDHy,r0082
ACt2r,ICDHy,r0422
ADAD,RNDR3,RNTR3
ADK2,GLKKpppi,PPA2
ADK5,NDPK3,UMPK
ADK8,NDPK7,RNTR3
ADK8,NDPK7,TRDRr
ADK9,NDPK5,RNTR2
ADK9,NDPK5,TRDRr
AGDC,EX_gam(e),GF6PTA
AGDC,GAMpts,GF6PTA
AKGS,CO2t,PPCKr
AKGS,EX_co2(e),PPCKr
ALALEU1c,EX_glyleu(e),EX_leu_L(e)
ALALEU1c,EX_glyleu(e),LEUt2r
ALALEU1c,EX_leu_L(e),GLYLEUHYDROc
ALALEU1c,EX_leu_L(e),GLYLEUPEPT1tc
ALALEU1c,GLYLEUHYDROc,LEUt2r
ALALEU1c,GLYLEUPEPT1tc,LEUt2r
ALALEUabc,EX_glyleu(e),EX_leu_L(e)
ALALEUabc,EX_glyleu(e),LEUt2r
ALALEUabc,EX_leu_L(e),GLYLEUHYDROc
ALALEUabc,EX_leu_L(e),GLYLEUPEPT1tc
ALALEUabc,GLYLEUHYDROc,LEUt2r
ALALEUabc,GLYLEUPEPT1tc,LEUt2r
ALCD19,EX_glyc(e),GLYK
ALCD19,GLYCt,GLYK
AMPTASECG,AMPTASEGC,CYSt2r
AMPTASECG,AMPTASEGC,EX_cys_L(e)
AMPTASECG,CYSt2r,EX_glycys(e)
AMPTASECG,CYSt2r,GLYCYSabc
AMPTASECG,EX_cys_L(e),EX_glycys(e)
AMPTASECG,EX_cys_L(e),GLYCYSabc
AMPt2,EX_glyc3p(e),EX_pi(e)
AMPt2,EX_pi(e),GLYC3Pti
AMPt2,EX_pi(e),TPI
CO2t,FUM,GLUDy
CO2t,GLUDy,MDH
CO2t,PPCKr,SUCOAS
CTPS1,CTPS2,CYTDK3
CTPS1,CTPS2,CYTDt2r
CTPS1,CTPS2,CYTK1
CTPS1,CTPS2,EX_cytd(e)
CTPS1,CTPS2,NDPK9
CYTD,CYTDt2r,CYTK1
CYTD,CYTK1,EX_cytd(e)
CYTDK3,NDPK2,UTPATPT
CYTDt2r,NDPK2,UTPATPT
CYTK1,NDPK2,UTPATPT
CYTK2,RNDR3,RNTR3
DADNK,RNDR1,RNTR1
DADNt2r,EX_gua(e),GMPS2
DADNt2r,EX_gua(e),HXPRT
DADNt2r,EX_gua(e),IMPD
DADNt2r,PUNP2,TRDRr
DCTPD2,NDPK2,UTPATPT
DCYTt2r,RNDR3,RNTR3
DGK1,RNDR2,RNTR2
DGSNt2r,EX_gua(e),GMPS2
DGSNt2r,EX_gua(e),HXPRT
DGSNt2r,EX_gua(e),IMPD
DGSNt2r,PUNP4,TRDRr
EX_ac(e),ICDHy,r0082
EX_ac(e),ICDHy,r0422
EX_acgam(e),EX_gam(e),GF6PTA
EX_acgam(e),GAMpts,GF6PTA
EX_alaleu(e),EX_glyleu(e),EX_leu_L(e)
EX_alaleu(e),EX_glyleu(e),LEUt2r
EX_alaleu(e),EX_leu_L(e),GLYLEUHYDROc
EX_alaleu(e),EX_leu_L(e),GLYLEUPEPT1tc
EX_alaleu(e),GLYLEUHYDROc,LEUt2r
EX_alaleu(e),GLYLEUPEPT1tc,LEUt2r
EX_amp(e),EX_glyc3p(e),EX_pi(e)
EX_amp(e),EX_pi(e),GLYC3Pti
EX_amp(e),EX_pi(e),TPI
EX_cit(e),EX_fe2(e),FE3abc
EX_cit(e),FE2abc,FE3abc
EX_co2(e),FUM,GLUDy
EX_co2(e),GLUDy,MDH
EX_co2(e),PPCKr,SUCOAS
EX_cytd(e),NDPK2,UTPATPT
EX_dad_2(e),EX_gua(e),GMPS2
EX_dad_2(e),EX_gua(e),HXPRT
EX_dad_2(e),EX_gua(e),IMPD
EX_dad_2(e),PUNP2,TRDRr
EX_dcyt(e),RNDR3,RNTR3
EX_dgsn(e),EX_gua(e),GMPS2
EX_dgsn(e),EX_gua(e),HXPRT
EX_dgsn(e),EX_gua(e),IMPD
EX_dgsn(e),PUNP4,TRDRr
EX_fe2(e),FE3abc,FEDCabc
EX_fe3(e),EX_o2(e),FE2DH
EX_fe3(e),FE2DH,FERO
EX_fe3(e),FE2DH,O2t
EX_gal(e),EX_lcts(e),PGMT
EX_gal(e),LACZ,PGMT
EX_gal(e),LCTSabc,PGMT
EX_glyc(e),FBA,GLYK
EX_glyc(e),FBA2,GLYK
EX_glyc(e),FRUK,GLYK
EX_glyc3p(e),G3PD8,GLYK
EX_gua(e),GMPS2,PUNP2
EX_gua(e),GMPS2,PUNP4
EX_gua(e),HXPRT,PUNP2
EX_gua(e),HXPRT,PUNP4
EX_gua(e),IMPD,PUNP2
EX_gua(e),IMPD,PUNP4
EX_ppi(e),FBA,PPA
EX_ppi(e),PFK(ppi),PPA
EX_ppi(e),PPA,TPI
EX_rib_D(e),PPM,RPE
EX_rib_D(e),PPM,RPI
EX_rib_D(e),PPM,TALA
EX_rib_D(e),PPM,TKT1
EX_rib_D(e),PPM,TKT2
EX_ser_L(e),MTHFD,MTHFD2
EX_uri(e),NDPK2,UTPATPT
FBA,GLYCt,GLYK
FBA,PPA,PPIt2e
FBA2,GLYCt,GLYK
