ACGAMPM,G1PACT
ACGAMPM,PGAMT
ACGApts,G1PACT
ACGApts,PGAMT
ADK10,NDPK4
ADK2,PPA2
ALAHIS1c,EX_his_L(e)
ALAHIS1c,HISt2r
ALAHISabc,EX_his_L(e)
ALAHISabc,HISt2r
AMPt2,EX_pi(e)
ASNt2r,EX_glyasn(e)
ASNt2r,GLYASN1c
ASNt2r,GLYASNabc
CYTK1,NTD4
DMPPS,DMPPS2r
EX_acgam(e),G1PACT
EX_acgam(e),PGAMT
EX_alahis(e),EX_his_L(e)
EX_alahis(e),HISt2r
EX_amp(e),EX_pi(e)
EX_asn_L(e),EX_glyasn(e)
EX_asn_L(e),GLYASN1c
EX_asn_L(e),GLYASNabc
EX_fe2(e),EX_fe3(e)
EX_fe2(e),FE2DH
EX_fe2(e),FE3abc
EX_fe3(e),FE2abc
EX_glypro(e),EX_pro_L(e)
EX_glypro(e),PROt2r
EX_glytyr(e),EX_tyr_L(e)
EX_glytyr(e),TYRt2r
EX_pro_L(e),GLYPROPRO1c
EX_pro_L(e),GLYPROabc
EX_thymd(e),TMDS
EX_tyr_L(e),GLYTYR1c
EX_tyr_L(e),GLYTYRabc
FE2DH,FE2abc
FE2abc,FE3abc
FTHFL,GLYCL
FTHFL,MTHFC
GK1,GK2
GLYCL,MTHFC
GLYPROPRO1c,PROt2r
GLYPROabc,PROt2r
GLYTYR1c,TYRt2r
GLYTYRabc,TYRt2r
GMPS2,GUAPRT
GUAPRT,IMPD
ILEabc,ILEt2r
IPDPS,IPDPS2
MG2abc,MGt5
NADK,NADK2
NADS1,NADS2
NDPK2,UTPATPT
PPM,TKT1
PPNCL3,r0671
RNDR1,RNTR1
THMDt2r,TMDS
VALabc,VALt2r
