ACALD,PFL,PTAr
ACGApts,EX_gam(e),GF6PTA
ACGApts,GAMpts,GF6PTA
ADAD,RNDR3,RNTR3
ADK8,NDPK7,RNTR3
ADK9,NDPK5,RNTR2
ADPT,ADSL1r,AMPt2
ADPT,ADSL1r,EX_amp(e)
ADPT,ADSS,AMPt2
ADPT,ADSS,EX_amp(e)
ADSL2r,CO2t,PPCr
ADSL2r,EX_co2(e),PPCr
ADSL2r,GUAPRT,HXPRT
AICART,CO2t,PPCr
AICART,EX_co2(e),PPCr
AICART,GUAPRT,HXPRT
AIRC4,CO2t,PPCr
AIRC4,EX_co2(e),PPCr
AIRC4,GUAPRT,HXPRT
ALALEU1c,EX_glyleu(e),EX_leu_L(e)
ALALEU1c,EX_leu_L(e),GLYLEUHYDROc
ALALEU1c,EX_leu_L(e),GLYLEUPEPT1tc
ALALEUabc,EX_glyleu(e),EX_leu_L(e)
ALALEUabc,EX_leu_L(e),GLYLEUHYDROc
ALALEUabc,EX_leu_L(e),GLYLEUPEPT1tc
ALATHR1c,ASAD,EX_thr_L(e)
ALATHR1c,ASAD,THRt2r
ALATHR1c,ASPKi,EX_thr_L(e)
ALATHR1c,ASPKi,THRt2r
ALATHR1c,EX_thr_L(e),HSK
ALATHR1c,EX_thr_L(e),THRS
ALATHR1c,HSK,THRt2r
ALATHR1c,THRS,THRt2r
ALATHRabc,ASAD,EX_thr_L(e)
ALATHRabc,ASAD,THRt2r
ALATHRabc,ASPKi,EX_thr_L(e)
ALATHRabc,ASPKi,THRt2r
ALATHRabc,EX_thr_L(e),HSK
ALATHRabc,EX_thr_L(e),THRS
ALATHRabc,HSK,THRt2r
ALATHRabc,THRS,THRt2r
AMPTASECG,AMPTASEGC,CYSt2r
AMPTASECG,AMPTASEGC,EX_cys_L(e)
AMPTASECG,CYSt2r,EX_glycys(e)
AMPTASECG,CYSt2r,GLYCYSabc
AMPTASECG,EX_cys_L(e),EX_glycys(e)
AMPTASECG,EX_cys_L(e),GLYCYSabc
AMPt2,PIabc,PIt6b
ASAD,EX_alathr(e),EX_thr_L(e)
ASAD,EX_alathr(e),THRt2r
ASPCT,UPPRT,URIK1
ASPKi,EX_alathr(e),EX_thr_L(e)
ASPKi,EX_alathr(e),THRt2r
ASPTA,FUM,PPCr
ASPTA,MDH,PPCr
CO2t,FTHFL,PPCr
CO2t,GARFTi,PPCr
CO2t,GLUPRT,PPCr
CO2t,H2CO3D,PPCr
CO2t,IMPC,PPCr
CO2t,PPCr,PRAGS
CO2t,PPCr,PRAIS
CO2t,PPCr,PRASCSi
CO2t,PPCr,PRFGS
CTPS1,CTPS2,CYTDK3
CTPS1,CTPS2,CYTK1
CTPS1,CTPS2,NDPK9
CYTK2,RNDR3,RNTR3
DCYTt2r,RNDR3,RNTR3
DGK1,RNDR2,RNTR2
DGSNt2r,EX_gua(e),GMPS2
DGSNt2r,EX_gua(e),IMPD
DHORTS,UPPRT,URIK1
EX_acgam(e),EX_gam(e),GF6PTA
EX_acgam(e),GAMpts,GF6PTA
EX_alaleu(e),EX_glyleu(e),EX_leu_L(e)
EX_alaleu(e),EX_leu_L(e),GLYLEUHYDROc
EX_alaleu(e),EX_leu_L(e),GLYLEUPEPT1tc
EX_alathr(e),EX_thr_L(e),HSK
EX_alathr(e),EX_thr_L(e),THRS
EX_alathr(e),HSK,THRt2r
EX_alathr(e),THRS,THRt2r
EX_amp(e),PIabc,PIt6b
EX_co2(e),FTHFL,PPCr
EX_co2(e),GARFTi,PPCr
EX_co2(e),GLUPRT,PPCr
EX_co2(e),H2CO3D,PPCr
EX_co2(e),IMPC,PPCr
EX_co2(e),PPCr,PRAGS
EX_co2(e),PPCr,PRAIS
EX_co2(e),PPCr,PRASCSi
EX_co2(e),PPCr,PRFGS
EX_dcyt(e),RNDR3,RNTR3
EX_dgsn(e),EX_gua(e),GMPS2
EX_dgsn(e),EX_gua(e),IMPD
EX_fe3(e),EX_o2(e),FE2DH
EX_fe3(e),FE2DH,FERO
EX_fe3(e),FE2DH,O2t
EX_glyphe(e),EX_phe_L(e),LARGNAT
EX_glyphe(e),EX_phe_L(e),PHETA1
EX_glyphe(e),EX_phe_L(e),PPNDH
EX_glyphe(e),LARGNAT,PHEt2r
EX_glyphe(e),PHETA1,PHEt2r
EX_glyphe(e),PHEt2r,PPNDH
EX_gua(e),GMPS2,PUNP4
EX_gua(e),IMPD,PUNP4
EX_o2(e),FE2DH,FE3abc
EX_phe_L(e),GLYPHEHYc,LARGNAT
EX_phe_L(e),GLYPHEHYc,PHETA1
EX_phe_L(e),GLYPHEHYc,PPNDH
EX_phe_L(e),GLYPHEabc,LARGNAT
EX_phe_L(e),GLYPHEabc,PHETA1
EX_phe_L(e),GLYPHEabc,PPNDH
EX_ppi(e),PPA,PPIACPT
EX_succ(e),UPPRT,URIK1
F6PE4PL,PPM,TKT2
FBA3,PPM,TALA
FE2DH,FE3abc,FERO
FE2DH,FE3abc,O2t
FTHFL,MTHFD,MTHFD2
G3PD1,G3PD2,GLYK
GARFTi,GUAPRT,HXPRT
GLUPRT,GUAPRT,HXPRT
GLYCL,MTHFD,MTHFD2
GLYPHEHYc,LARGNAT,PHEt2r
GLYPHEHYc,PHETA1,PHEt2r
GLYPHEHYc,PHEt2r,PPNDH
GLYPHEabc,LARGNAT,PHEt2r
GLYPHEabc,PHETA1,PHEt2r
GLYPHEabc,PHEt2r,PPNDH
GUAPRT,H2CO3D,HXPRT
GUAPRT,HXPRT,IMPC
GUAPRT,HXPRT,PRAGS
