23DHMPO,3MOPt2r,KARA2
23DHMPO,EX_3mop(e),KARA2
2AHBUTI,3MOPt2r,KARA2
2AHBUTI,EX_3mop(e),KARA2
2DMMQ8abc,ASAD,SHSL4r
2DMMQ8abc,ASPKi,SHSL4r
2DMMQ8abc,HSERTA,SHSL4r
2INSD,ASP1DC,MMSAD5
2MEBCOADH,3MOPDC2,OIVD1r
2MEBCOADH,LPAMMBT2,OIVD1r
3HAD160,FACOAL140,TDCOATA
3HAD160,G3PAT140,TDCOATA
3HAD160,LPLIPAL1A140,TDCOATA
3MEBCOADH,3MOBS,LEUTA
3MEBCOADH,3MOPDC2,OIVD3
3MEBCOADH,IPMDr,LEUTA
3MEBCOADH,IPPMIa,LEUTA
3MEBCOADH,IPPMIb,LEUTA
3MEBCOADH,LEUTA,OMCDC
3MEBCOADH,LPAMMBT2,OIVD3
3MOPDC2,OIVD1r,OIVD3
3MOPt2r,ACLS_a,LPAMS
3OAR160,ACACT7r,KAS_HP
3OAR160,ACOAD7i,KAS_HP
3OAR160,ECOAH7,KAS_HP
3OAR160,HACD7,KAS_HP
3OAR160,KAS_HP,PMTCOATA
3OAS160,ACACT7r,KAS_HP
3OAS160,ACOAD7i,KAS_HP
3OAS160,ECOAH7,KAS_HP
3OAS160,HACD7,KAS_HP
3OAS160,KAS_HP,PMTCOATA
ACCOACL,MALCOAPYRCT,MMSAD5
ACGApts,EX_gam(e),GF6PTA
ACGApts,GAMpts,GF6PTA
ACGK,ARGt2,EX_orn(e)
ACGK,ARGt2,ORNt2r
ACGK,EX_arg_L(e),EX_orn(e)
ACGK,EX_arg_L(e),ORNt2r
ACKr,ACS,ACt2r
ACKr,ACS,EX_ac(e)
ACKr,ATPS4,PGK
ACLS_a,EX_3mop(e),LPAMS
ACLS_a,EX_val_L(e),LPAMS
ACLS_a,LPAMS,VALt2r
ACLS_b,VALTA,VPAMTr
ACOTA,ARGt2,EX_orn(e)
ACOTA,ARGt2,ORNt2r
ACOTA,EX_arg_L(e),EX_orn(e)
ACOTA,EX_arg_L(e),ORNt2r
ACS,ACt2r,PTAr
ACS,EX_ac(e),PTAr
ACt2r,ATPS4,PGK
ADK2,GLKKpppi,PPA2
ADK7,GK1,NDPK8
ADK7,GK2,NDPK8
ADNCNT3tc,ADSL2r,HXPRT
ADNCNT3tc,AICART,HXPRT
ADNCNT3tc,AIRC4,HXPRT
ADNCNT3tc,GARFTi,HXPRT
ADNCNT3tc,GLUPRT,HXPRT
ADNCNT3tc,H2CO3D,HXPRT
ADNCNT3tc,HXPRT,IMPC
ADNCNT3tc,HXPRT,PRAGS
ADNCNT3tc,HXPRT,PRAIS
ADNCNT3tc,HXPRT,PRASCSi
ADNCNT3tc,HXPRT,PRFGS
ADNK1,ADPT,ADSL1r
ADNK1,ADPT,ADSS
ADSL2r,EX_adn(e),HXPRT
AGDC,EX_gam(e),GF6PTA
AGDC,GAMpts,GF6PTA
AGMT,EX_ptrc(e),ORNDC
AGMT,ORNDC,PTRCabc
AGPAT180,FACOAL180i,STCOATA
AGPAT180,LPLIPAL1A180,STCOATA
AGPR,ARGt2,EX_orn(e)
AGPR,ARGt2,ORNt2r
AGPR,EX_arg_L(e),EX_orn(e)
AGPR,EX_arg_L(e),ORNt2r
AHC,AHCYSNS,EX_mqn8(e)
AHC,AHCYSNS,MK8t
AHC,DM_dhptd(c),EX_mqn8(e)
AHC,DM_dhptd(c),MK8t
AHC,EX_mqn8(e),RHCCE
AHC,MK8t,RHCCE
AICART,ALAHIS1c,EX_his_L(e)
AICART,ALAHIS1c,HISt2r
AICART,ALAHISabc,EX_his_L(e)
AICART,ALAHISabc,HISt2r
AICART,EX_adn(e),HXPRT
AICART,EX_alahis(e),EX_his_L(e)
AICART,EX_alahis(e),HISt2r
AIRC4,EX_adn(e),HXPRT
ALACI,EX_val_L(e),KARA1
ALACI,KARA1,VALt2r
ALAHIS1c,ATPPRT,EX_his_L(e)
ALAHIS1c,ATPPRT,HISt2r
ALAHIS1c,EX_his_L(e),HISTP
