2MEBCOADH,OIVD3
3MEBCOADH,OIVD1r
4ABZt2,ADCL
4ABZt2,ADCS
ACACT1r,ACACt2
ACACT1r,EX_acac(e)
ACGK,ARGt2
ACGK,EX_arg_L(e)
ACLS_a,EX_val_L(e)
ACLS_b,EX_val_L(e)
ACOAAGPAT180,AGPAT180
ACOTA,ARGt2
ACOTA,EX_arg_L(e)
ACS,ACtr
ACS,EX_ac(e)
ADAD,RNDR3
ADCL,EX_4abz(e)
ADCS,EX_4abz(e)
ADK10,NDPK4
ADK3,NDPK1
ADK8,NDPK7
ADK9,NDPK5
ADSL2r,EX_hxan(e)
ADSL2r,HXPRT
ADSL2r,HYXNt
AGPR,ARGt2
AGPR,EX_arg_L(e)
AHC,AHCYSNS
AHC,DM_dhptd(c)
AHC,RHCCE
AHSERL3,DM_hcys_L[c]
AICART,EX_hxan(e)
AICART,HXPRT
AICART,HYXNt
AIRC4,EX_hxan(e)
AIRC4,HXPRT
AIRC4,HYXNt
ANPRT,EX_trp_L(e)
ANPRT,TRPt2r
APATr,ASP1DC
ARGSL,ARGt2
ARGSL,EX_arg_L(e)
ARGSSr,ARGt2
ARGSSr,EX_arg_L(e)
ARGt2,CBPS
ARGt2,H2CO3D
ASNt2r,EX_glyasn(e)
ASNt2r,GLYASN1c
ASNt2r,GLYASNabc
ASP1DC,MMSAD5
ATPS4,ENO
ATPS4,PGK
ATPS4,PGM
ATPS4,PYK
CBPS,EX_arg_L(e)
CGLYabc,EX_gthrd(e)
CGLYabc,GTHRDt2
CYSS3r,DM_hcys_L[c]
CYTK1,NTD4
CYTK2,RNDR3
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DCYTt2r,RNDR3
DGK1,RNDR2
DHAD1,EX_val_L(e)
DHNAS,NPHS
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
DHPPDA,DHPPDA2
DHPPDA,GTPCII2
DHPPDA2,GTPCII
DM_hcys_L[c],SERATi
EX_arg_L(e),H2CO3D
EX_asn_L(e),EX_glyasn(e)
EX_asn_L(e),GLYASN1c
EX_asn_L(e),GLYASNabc
EX_cgly(e),EX_gthrd(e)
EX_cgly(e),GTHRDt2
EX_dcyt(e),RNDR3
EX_fe2(e),EX_fe3(e)
EX_fe2(e),FE2DH
EX_fe2(e),FE3abc
EX_fe3(e),FE2abc
EX_gcald(e),GCALDL
EX_gcald(e),HPYRI
EX_gcald(e),r0339
EX_glyc3p(e),EX_pi(e)
EX_gthrd(e),GGTA
EX_hxan(e),GARFTi
EX_hxan(e),GLUPRT
EX_hxan(e),H2CO3D
EX_hxan(e),IMPC
EX_hxan(e),PRAGS
EX_hxan(e),PRAIS
EX_hxan(e),PRASCSi
EX_hxan(e),PRFGS
EX_ile_L(e),ILETA
EX_nac(e),NAPRT
EX_nac(e),NNDPR
EX_nac(e),QULNS
EX_o2(e),FRD2
EX_pi(e),GLYC3Pabc
EX_ppi(e),PPA
EX_ptrc(e),ORNDC
EX_rib_D(e),RPE
EX_rib_D(e),RPI
EX_rib_D(e),TKT2
EX_trp_L(e),IGPS
EX_trp_L(e),PRAI
FE2DH,FE2abc
FE2abc,FE3abc
FRD2,O2t
FTHFL,MTHFC
FTHFL,MTHFD
GARFTi,HXPRT
GARFTi,HYXNt
GCALDL,GCALDt
GCALDt,HPYRI
GCALDt,r0339
GGTA,GTHRDt2
GK1,GK2
GLUPRT,HXPRT
GLUPRT,HYXNt
GMPS2,GUAPRT
GTPCII,GTPCII2
H2CO3D,HXPRT
H2CO3D,HYXNt
HACD1,PHPB2i
HXPRT,IMPC
HXPRT,PRAGS
HXPRT,PRAIS
HXPRT,PRASCSi
HXPRT,PRFGS
HYXNt,IMPC
HYXNt,PRAGS
HYXNt,PRAIS
HYXNt,PRASCSi
HYXNt,PRFGS
IGPS,TRPt2r
ILETA,ILEabc
Kt1r,ZN2t4
Kt1r,ZNabc
METFR,r0792
MG2abc,MGt5
MNabc,MNt2
NACt2r,NAPRT
NACt2r,NNDPR
NACt2r,QULNS
NADK,NADK2
NAPRT,NNDPR
NAPRT,QULNS
NCOAH,NPHS
NDPK2,UTPATPT
NMNAT,NNATr
NNATr,r0527
ORNDC,PTRCabc
PPA,PPIt2e
PPNCL3,r0671
PRAI,TRPt2r
PUNP4,RNDR2
RBK,RPE
RBK,RPI
RBK,TKT2
RIBabc,RPE
RIBabc,RPI
RIBabc,TKT2
RNDR2,r0456
RPE,RPI
RPE,TKT1
RPE,TKT2
RPI,TKT1
RPI,TKT2
TALA,TKT1
THMabc,THMt3
TKT1,TKT2
ZN2t4,ZNabc
