23DHMPO,KARA2
26DAPLLAT,SDPDS
26DAPLLAT,SDPTA
26DAPLLAT,THDPS
2AHBUTI,KARA2
3HAD100,AACPS7
3HAD100,DDCAt
3HAD100,EX_ddca(e)
3HAD120,AACPS7
3HAD120,DDCAt
3HAD120,EX_ddca(e)
3HAD140,EX_ttdca(e)
3HAD140,FACOAL140
3HAD140,TDCOATA
3HAD180,EX_ocdca(e)
3HAD180,FACOAL180
3HAD40,AACPS7
3HAD40,DDCAt
3HAD40,EX_ddca(e)
3HAD60,AACPS7
3HAD60,DDCAt
3HAD60,EX_ddca(e)
3HAD80,AACPS7
3HAD80,DDCAt
3HAD80,EX_ddca(e)
3OAR100,AACPS7
3OAR100,DDCAt
3OAR100,EX_ddca(e)
3OAR120,AACPS7
3OAR120,DDCAt
3OAR120,EX_ddca(e)
3OAR180,EX_ocdca(e)
3OAR180,FACOAL180
3OAR40,AACPS7
3OAR40,DDCAt
3OAR40,EX_ddca(e)
3OAR60,AACPS7
3OAR60,DDCAt
3OAR60,EX_ddca(e)
3OAR80,AACPS7
3OAR80,DDCAt
3OAR80,EX_ddca(e)
3OAS100,AACPS7
3OAS100,DDCAt
3OAS100,EX_ddca(e)
3OAS120,AACPS7
3OAS120,DDCAt
3OAS120,EX_ddca(e)
3OAS180,EX_ocdca(e)
3OAS180,FACOAL180
3OAS60,AACPS7
3OAS60,DDCAt
3OAS60,EX_ddca(e)
3OAS80,AACPS7
3OAS80,DDCAt
3OAS80,EX_ddca(e)
AACPS7,ACOATA
AACPS7,EAR100x
AACPS7,EAR120x
AACPS7,EAR40x
AACPS7,EAR60x
AACPS7,EAR80x
AACPS7,KAS14
ACGK,EX_orn(e)
ACGK,ORNabc
ACKr,ACtr
ACKr,EX_ac(e)
ACKr,OOR2r
ACKr,POR4
ACKr,SUCOAS
ACOAAGPAT180,AGPAT180
ACOATA,DDCAt
ACOATA,EX_ddca(e)
ACOTA,EX_orn(e)
ACOTA,ORNabc
ACtr,OOR2r
ACtr,POR4
ACtr,PTAr
ACtr,SUCOAS
ADK10,NDPK4
ADK3,NDPK1
AGPR,EX_orn(e)
AGPR,ORNabc
ALACI,KARA1
ALAR,ALATA_D
ALAR,GLUR
ALATA_D,GLUR
ANS,ANS2
ASNt2r,EX_glyasn(e)
ASNt2r,GLYASN1c
ASNt2r,GLYASNabc
ASP1DC,EX_pnto_R(e)
ASP1DC,PNTOt4
ASPCT,EX_ura(e)
ASPCT,UPPRT
ASPCT,URAt2r
CHORM,TALA
CHORM,TKT1
CO2t,PC
CTPS1,CTPS2
DAPDC,EX_lys_L(e)
DDCAt,EAR100x
DDCAt,EAR120x
DDCAt,EAR40x
DDCAt,EAR60x
DDCAt,EAR80x
DDCAt,KAS14
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
DHORTS,EX_ura(e)
DHORTS,UPPRT
DHORTS,URAt2r
DMPPS,DMPPS2r
DPRr,EX_pnto_R(e)
DPRr,PNTOt4
EAR100x,EX_ddca(e)
EAR120x,EX_ddca(e)
EAR140x,EX_ttdca(e)
EAR140x,FACOAL140
EAR140x,TDCOATA
EAR180x,EX_ocdca(e)
EAR180x,FACOAL180
EAR40x,EX_ddca(e)
EAR60x,EX_ddca(e)
EAR80x,EX_ddca(e)
ENO,EX_gcald(e)
ENO,GCALDD
ENO,GCALDt
ENO,GLXCL
ENO,GLYCLTDxr
ENO,PPCKr
ENO,TRSARr
ENO,r0339
EX_ac(e),OOR2r
EX_ac(e),POR4
EX_ac(e),PTAr
EX_ac(e),SUCOAS
EX_asn_L(e),EX_glyasn(e)
EX_asn_L(e),GLYASN1c
EX_asn_L(e),GLYASNabc
EX_cit(e),FE3abc
EX_co2(e),PC
EX_ddca(e),KAS14
EX_for(e),FTHFL
EX_for(e),GHMT2r
EX_for(e),MTHFC
EX_for(e),MTHFD
EX_for(e),PGCDr
EX_for(e),PSERT
EX_for(e),PSP_L
EX_gcald(e),GCALDD
EX_gcald(e),GLXCL
EX_gcald(e),GLYCLTDxr
EX_gcald(e),PGM
EX_gcald(e),PPCKr
EX_gcald(e),TRSARr
EX_gcald(e),r0339
EX_orn(e),ORNTAC
EX_pnto_R(e),MOHMT
EX_pnto_R(e),PANTS
EX_ura(e),OMPDC
EX_ura(e),OROTPT
FE3abc,FEDCabc
FORt2r,FTHFL
FORt2r,GHMT2r
FORt2r,MTHFC
FORt2r,MTHFD
FORt2r,PGCDr
FORt2r,PSERT
FORt2r,PSP_L
FTHFL,GHMT2r
FTHFL,MTHFC
FTHFL,MTHFD
FTHFL,PGCDr
FTHFL,PSERT
FTHFL,PSP_L
G3PAT180,SGAT
G3PD1,G3PD2
G6PI,PGI
G6PI3,PGI
GCALDD,GCALDt
GCALDD,PGM
GCALDD,PPCKr
GCALDt,GLXCL
GCALDt,GLYCLTDxr
GCALDt,PGM
GCALDt,PPCKr
GCALDt,TRSARr
GCALDt,r0339
GHMT2r,MTHFC
GHMT2r,MTHFD
GHMT2r,PGCDr
GHMT2r,PSERT
GHMT2r,PSP_L
GK1,GK2
GLXCL,PGM
GLXCL,PPCKr
GLYCLTDxr,PGM
GLYCLTDxr,PPCKr
IPDPS,IPDPS2
KARA1,KARA3
METFR,r0792
MG2abc,MGt5
MOHMT,PNTOt4
MTHFC,PGCDr
MTHFC,PSERT
MTHFC,PSP_L
MTHFD,PGCDr
MTHFD,PSERT
MTHFD,PSP_L
NADK,NADK2
NADS1,NADS2
NDPK2,UTPATPT
OMPDC,UPPRT
OMPDC,URAt2r
OOR2r,PTAr
ORNTAC,ORNabc
OROTPT,UPPRT
OROTPT,URAt2r
PANTS,PNTOt4
PGM,PPCKr
PGM,TRSARr
PGM,r0339
POR4,PTAr
PPCKr,TRSARr
PPCKr,r0339
PPNCL3,r0671
PTAr,SUCOAS
RNDR1,RNTR1
RNDR2,RNTR2
RNDR3,RNTR3
TALA,TKT1
TRPS1,TRPS2
TRPS1,TRPS3
