23DHMPO,KARA2
2AHBUTI,KARA2
2S6HCC,AMMQT7rev
2S6HCC,DHNAOT7
2S6HCC,EX_mqn7(e)
2S6HCC,MK7te
3HAD100,AACPS7
3HAD100,DDCAt
3HAD100,EX_ddca(e)
3HAD120,AACPS7
3HAD120,DDCAt
3HAD120,EX_ddca(e)
3HAD140,EX_ttdca(e)
3HAD140,FACOAL140
3HAD140,TDCOATA
3HAD140,TTDCAtr
3HAD180,EX_ocdca(e)
3HAD180,FACOAL180
3HAD180,OCDCAtr
3HAD40,AACPS7
3HAD40,DDCAt
3HAD40,EX_ddca(e)
3HAD60,AACPS7
3HAD60,DDCAt
3HAD60,EX_ddca(e)
3HAD80,AACPS7
3HAD80,DDCAt
3HAD80,EX_ddca(e)
3OAR100,AACPS7
3OAR100,DDCAt
3OAR100,EX_ddca(e)
3OAR120,AACPS7
3OAR120,DDCAt
3OAR120,EX_ddca(e)
3OAR180,EX_ocdca(e)
3OAR180,FACOAL180
3OAR180,OCDCAtr
3OAR40,AACPS7
3OAR40,DDCAt
3OAR40,EX_ddca(e)
3OAR60,AACPS7
3OAR60,DDCAt
3OAR60,EX_ddca(e)
3OAR80,AACPS7
3OAR80,DDCAt
3OAR80,EX_ddca(e)
3OAS100,AACPS7
3OAS100,DDCAt
3OAS100,EX_ddca(e)
3OAS120,AACPS7
3OAS120,DDCAt
3OAS120,EX_ddca(e)
3OAS180,EX_ocdca(e)
3OAS180,FACOAL180
3OAS180,OCDCAtr
3OAS60,AACPS7
3OAS60,DDCAt
3OAS60,EX_ddca(e)
3OAS80,AACPS7
3OAS80,DDCAt
3OAS80,EX_ddca(e)
AACPS7,ACOATA
AACPS7,EAR100x
AACPS7,EAR120x
AACPS7,EAR40x
AACPS7,EAR60x
AACPS7,EAR80x
AACPS7,KAS14
ACGK,ARGt2r
ACGK,EX_arg_L(e)
ACLS_b,EX_val_L(e)
ACLS_b,VALTA
ACLS_b,VALabc
ACOAAGPAT180,AGPAT180
ACOATA,DDCAt
ACOATA,EX_ddca(e)
ACOTA,ARGt2r
ACOTA,EX_arg_L(e)
ACt2r,OOR2r
ACt2r,POR4
ACt2r,SUCOAS
ADK10,NDPK4
ADK3,NDPK1
ADK5,NDPK3
ADK8,NDPK7
ADK9,NDPK5
AGMD,ORNDC
AGPR,ARGt2r
AGPR,EX_arg_L(e)
AMMQT7rev,ICHORS
AMMQT7rev,NPHS
AMMQT7rev,SUCBZL
AMMQT7rev,SUCBZS
AMOPBHL,EX_pydx(e)
AMOPBHL,PYDXK
AMOPBHL,PYDXtr
ANS,ANS2
ARGDC,ORNDC
ARGSL,ARGt2r
ARGSL,EX_arg_L(e)
ARGSSr,ARGt2r
ARGSSr,EX_arg_L(e)
ARGt2r,OCBT
ARGt2r,ORNTAC
ATPS4,EX_glyc3p(e)
ATPS4,GAPD
ATPS4,GLYC3Pt
ATPS4,PGK
ATPS4,TPI
CGLYabc,sink_gthrd(c)
CHORM,TALA
CHORM,TKT1
CTPS1,CTPS2
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DCTPD,RNDR4
DDCAt,EAR100x
DDCAt,EAR120x
DDCAt,EAR40x
DDCAt,EAR60x
DDCAt,EAR80x
DDCAt,KAS14
DHAD1,EX_val_L(e)
DHAD1,VALTA
DHAD1,VALabc
DHNAOT7,ICHORS
DHNAOT7,NPHS
DHNAOT7,SUCBZL
DHNAOT7,SUCBZS
DHNPA,DHNPA2
DHNPA,DHPS2
DHNPA,HPPK2
DMPPS,DMPPS2r
DM_4HBA,EX_thm(e)
DM_4HBA,THMabc
E4PD,EX_pydx(e)
E4PD,PYDXK
E4PD,PYDXtr
EAR100x,EX_ddca(e)
EAR120x,EX_ddca(e)
EAR140x,EX_ttdca(e)
EAR140x,FACOAL140
EAR140x,TDCOATA
EAR140x,TTDCAtr
EAR180x,EX_ocdca(e)
EAR180x,FACOAL180
EAR180x,OCDCAtr
EAR40x,EX_ddca(e)
EAR60x,EX_ddca(e)
EAR80x,EX_ddca(e)
ENO,PPCKr
EX_ac(e),OOR2r
EX_ac(e),POR4
EX_ac(e),SUCOAS
EX_arg_L(e),OCBT
EX_arg_L(e),ORNTAC
EX_cgly(e),sink_gthrd(c)
EX_ddca(e),KAS14
EX_glyc3p(e),EX_pi(e)
EX_glyc3p(e),GAPD
EX_glyc3p(e),PGK
EX_glyc3p(e),TPI
EX_ile_L(e),ILETA
EX_mqn7(e),ICHORS
EX_mqn7(e),NPHS
EX_mqn7(e),SUCBZL
EX_mqn7(e),SUCBZS
EX_pheme(e),FCLTc
EX_pheme(e),PPPGO3
EX_pheme(e),UPPDC1
EX_pi(e),GLYC3Pt
EX_pydx(e),OHPBAT
EX_pydx(e),PDX5PO2
EX_pydx(e),PDX5PSYN
EX_pydx(e),PERD
EX_pydx(e),PHTHRDH
EX_ser_L(e),PGCDr
EX_ser_L(e),PSERT
