ACHBPL,EX_ile_L(e)
ACLS_b,EX_val_L(e)
ACNAMt2r,G1PACT
ACNAMt2r,PGAMT
ACNAMt2r,UAGDP
ACNML,G1PACT
ACNML,PGAMT
ACNML,UAGDP
ADK10,NDPK4
ADK3,NDPK1
ADPT,ADSL1r
ADPT,ADSS
ADSL1r,PRPPS
ADSS,PRPPS
ALAR,DALAt2r
ALAR,EX_ala_D(e)
ARGSL,EX_arg_L(e)
ARGSSr,EX_arg_L(e)
ASP1DC,EX_pnto_R(e)
ASP1DC,PNTOt4
CYTDt2r,UMPK
CYTK1,NTD4
CYTK1,UMPK
DAPDC,EX_lys_L(e)
DCTPD2,UMPK
DHAD1,EX_val_L(e)
DHAD2,EX_ile_L(e)
DHFR,EX_thymd(e)
DHFR,THMDt2r
DHFR,TMDK1
DPRr,EX_pnto_R(e)
DPRr,PNTOt4
EX_acnam(e),G1PACT
EX_acnam(e),PGAMT
EX_acnam(e),UAGDP
EX_arg_L(e),OCBT
EX_cytd(e),UMPK
EX_fe3(e),EX_o2(e)
EX_fe3(e),FERO
EX_fe3(e),O2t
EX_ile_L(e),ILETA
EX_nmn(e),NNATr
EX_nmn(e),PRPPS
EX_pnto_R(e),MOHMT
EX_pnto_R(e),PANTS
EX_thymd(e),TMDS
G1PACT,UAG2EMA
GK1,GK2
MG2abc,MGt5
MNabc,MNt2
MOHMT,PNTOt4
NADK,NADK2
NMNAT,NNATr
NMNAT,PRPPS
NMNP,NNATr
NMNP,PRPPS
NTD2,UMPK
PANTS,PNTOt4
PGAMT,UAG2EMA
PPNCL3,r0671
RNDR1,RNTR1
RNDR2,RNTR2
RNDR3,RNTR3
THMDt2r,TMDS
TMDK1,TMDS
UAG2EMA,UAGDP
ZN2t4,ZNabc
