3MOBS,LEUTA
ACGAMPM,G1PACT
ACGAMPM,PGAMT
ACGApts,G1PACT
ACGApts,PGAMT
ACGK,EX_orn(e)
ACGK,ORNabc
ACLS_a,EX_val_L(e)
ACLS_b,EX_val_L(e)
ACOAAGPAT180,AGPAT180
ACOAAGPAT180,STCOATA
ACOTA,EX_orn(e)
ACOTA,ORNabc
ADK10,NDPK4
ADK2,PPA2
ADK3,NDPK1
ADOCBIK,ADOCBIK2
AGPR,EX_orn(e)
AGPR,ORNabc
AHC,AHCYSNS_r
AHC,DM_dhptd(c)
AHC,RHCCE
ALAR,ALATA_D
ALAR,GLUR
ALATA_D,GLUR
ANS,ANS2
CBMK,CITRH
COBALTt5,Coabc
CYTK1,NTD4
CYTK1,UMPK
DAPDC,EX_lys_L(e)
DAPDC,LYSabc
DCTPD2,UMPK
DHAD1,EX_val_L(e)
EX_acgam(e),G1PACT
EX_acgam(e),PGAMT
EX_cit(e),FE3abc
EX_ile_L(e),ILETA
EX_nac(e),NAPRT
EX_nmn(e),NNATr
EX_ptrc(e),ORNDC
EX_thymd(e),TMDS
EX_uri(e),UMPK
EX_val_L(e),VALTA
FE3abc,FEDCabc
FRD7,SUCD1
FRD7,SUCD4
FTHFL,MTHFC
FTHFL,MTHFD
G3PAT180,SGAT
GALK,PGMT
GALT,GALUi
GK1,GK2
GMPS2,GUAPRT
IPMDr,LEUTA
IPPMIa,LEUTA
IPPMIb,LEUTA
LEUTA,OMCDC
METFR,r0792
MG2abc,MGt5
NACt2r,NAPRT
NADK,NADK2
NAPRT,NNDPR
NAPRT,QULNS
NMNAT,NNATr
NMNP,NNATr
NTD2,UMPK
ORNDC,PTRCabc
PGMT,UDPG4E
PPNCL3,r0671
RNDR1,RNTR1
RPE,TKT1
RPI,TKT1
SGAT,STCOATA
THMDt2r,TMDS
TKT1,TKT2
TRPS1,TRPS2
TRPS1,TRPS3
UMPK,URIt2r
