3MOPt2r,ACHBPL,EX_ile_L(e)
3MOPt2r,ACHBPL,ILETA
3MOPt2r,ACLS_a,EX_ile_L(e)
3MOPt2r,ACLS_a,ILETA
3MOPt2r,DHAD2,EX_ile_L(e)
3MOPt2r,DHAD2,ILETA
3MOPt2r,EX_ile_L(e),THRD_L
3MOPt2r,ILETA,THRD_L
ACGApts,EX_gam(e),GF6PTA
ACGApts,GAMpts,GF6PTA
ACGS,EX_orn(e),ORNTAC
ACGS,ORNTAC,ORNabc
ACHBPL,EX_3mop(e),EX_ile_L(e)
ACHBPL,EX_3mop(e),ILETA
ACLS_a,EX_3mop(e),EX_ile_L(e)
ACLS_a,EX_3mop(e),ILETA
ACLS_a,LEUTA,VALTA
ACLS_a,VALabc,VALt2r
ACLS_b,LEUTA,VALTA
ACLS_b,VALabc,VALt2r
ACODAr,EX_orn(e),ORNTAC
ACODAr,ORNTAC,ORNabc
ADK5,NDPK3,UMPK
ADK8,NDPK7,RNTR3
ADK9,NDPK5,RNTR2
AHSERL3,DM_hcys_L[c],METS
AICART,ALAHIS1c,EX_his_L(e)
AICART,ALAHIS1c,HISt2r
AICART,ALAHISabc,EX_his_L(e)
AICART,ALAHISabc,HISt2r
AICART,EX_alahis(e),EX_his_L(e)
AICART,EX_alahis(e),HISt2r
ALACI,EX_val_L(e),KARA1
ALAHIS1c,ATPPRT,EX_his_L(e)
ALAHIS1c,ATPPRT,HISt2r
ALAHIS1c,EX_his_L(e),HISTP
ALAHIS1c,EX_his_L(e),HSTPTr
ALAHIS1c,EX_his_L(e),IG3PS
ALAHIS1c,EX_his_L(e),IGPDH
ALAHIS1c,EX_his_L(e),IMPC
ALAHIS1c,EX_his_L(e),PRAMPC
ALAHIS1c,EX_his_L(e),PRATPP
ALAHIS1c,EX_his_L(e),PRMICI
ALAHIS1c,HISTP,HISt2r
ALAHIS1c,HISt2r,HSTPTr
ALAHIS1c,HISt2r,IG3PS
ALAHIS1c,HISt2r,IGPDH
ALAHIS1c,HISt2r,IMPC
ALAHIS1c,HISt2r,PRAMPC
ALAHIS1c,HISt2r,PRATPP
ALAHIS1c,HISt2r,PRMICI
ALAHISabc,ATPPRT,EX_his_L(e)
ALAHISabc,ATPPRT,HISt2r
ALAHISabc,EX_his_L(e),HISTP
ALAHISabc,EX_his_L(e),HSTPTr
ALAHISabc,EX_his_L(e),IG3PS
ALAHISabc,EX_his_L(e),IGPDH
ALAHISabc,EX_his_L(e),IMPC
ALAHISabc,EX_his_L(e),PRAMPC
ALAHISabc,EX_his_L(e),PRATPP
ALAHISabc,EX_his_L(e),PRMICI
ALAHISabc,HISTP,HISt2r
ALAHISabc,HISt2r,HSTPTr
ALAHISabc,HISt2r,IG3PS
ALAHISabc,HISt2r,IGPDH
ALAHISabc,HISt2r,IMPC
ALAHISabc,HISt2r,PRAMPC
ALAHISabc,HISt2r,PRATPP
ALAHISabc,HISt2r,PRMICI
ALATHR1c,ASAD,EX_thr_L(e)
ALATHR1c,ASAD,THRt2r
ALATHR1c,ASPKi,EX_thr_L(e)
ALATHR1c,ASPKi,THRt2r
ALATHR1c,EX_thr_L(e),HSK
ALATHR1c,EX_thr_L(e),THRS
ALATHR1c,HSK,THRt2r
ALATHR1c,THRS,THRt2r
ALATHRabc,ASAD,EX_thr_L(e)
ALATHRabc,ASAD,THRt2r
ALATHRabc,ASPKi,EX_thr_L(e)
ALATHRabc,ASPKi,THRt2r
ALATHRabc,EX_thr_L(e),HSK
ALATHRabc,EX_thr_L(e),THRS
ALATHRabc,HSK,THRt2r
ALATHRabc,THRS,THRt2r
AMPTASECG,AMPTASEGC,CYSt2r
AMPTASECG,AMPTASEGC,EX_cys_L(e)
AMPTASECG,CYSt2r,EX_glycys(e)
AMPTASECG,CYSt2r,GLYCYSabc
AMPTASECG,EX_cys_L(e),EX_glycys(e)
AMPTASECG,EX_cys_L(e),GLYCYSabc
ASAD,EX_alathr(e),EX_thr_L(e)
ASAD,EX_alathr(e),THRt2r
ASPKi,EX_alathr(e),EX_thr_L(e)
ASPKi,EX_alathr(e),THRt2r
ASPTA,CO2t,EX_gcald(e)
ASPTA,CO2t,GCALDL
ASPTA,CO2t,GCALDt
ASPTA,EX_co2(e),EX_gcald(e)
ASPTA,EX_co2(e),GCALDL
ASPTA,EX_co2(e),GCALDt
ATPPRT,EX_alahis(e),EX_his_L(e)
ATPPRT,EX_alahis(e),HISt2r
CHORM,EX_glyphe(e),EX_phe_L(e)
CHORM,EX_glyphe(e),PHEt2r
CHORM,EX_glytyr(e),EX_tyr_L(e)
CHORM,EX_glytyr(e),TYRt2r
CHORM,EX_phe_L(e),GLYPHEHYc
CHORM,EX_phe_L(e),GLYPHEabc
CHORM,EX_tyr_L(e),GLYTYR1c
CHORM,EX_tyr_L(e),GLYTYRabc
CHORM,GLYPHEHYc,PHEt2r
CHORM,GLYPHEabc,PHEt2r
CHORM,GLYTYR1c,TYRt2r
CHORM,GLYTYRabc,TYRt2r
CITL,FE3abc,OAASr
CITRH,HYPSUCORNS,OCBT
CITRH,OCBT,SUCCITRDSs
CITRH,OCBT,SUCORNTC
CO2t,EX_gcald(e),PPCKr
CO2t,GCALDL,PPCKr
CO2t,GCALDt,PPCKr
CSNt2,CYTDt2r,UMPK
CSNt2,EX_cytd(e),UMPK
CTPS1,CTPS2,CYTK1
CYSS3r,DM_hcys_L[c],METS
CYTD,CYTDt2r,CYTK1
CYTD,CYTK1,EX_cytd(e)
CYTDt2r,EX_csn(e),UMPK
CYTDt2r,PYNP1r,UMPK
CYTK1,NDPK2,UTPATPT
CYTK2,RNDR3,RNTR3
DCTPD2,NDPK2,UTPATPT
DGK1,RNDR2,RNTR2
DHAD1,LEUTA,VALTA
DHAD1,VALabc,VALt2r
DHAD2,EX_3mop(e),EX_ile_L(e)
DHAD2,EX_3mop(e),ILETA
DMPPS,DMPPS2r,IPDDI
DM_hcys_L[c],HSERTA,METS
DM_hcys_L[c],HSK,METS
DM_hcys_L[c],METS,SERATi
DM_hcys_L[c],METS,THRS
EX_3mop(e),EX_ile_L(e),THRD_L
EX_3mop(e),ILETA,THRD_L
EX_acgam(e),EX_gam(e),GF6PTA
EX_acgam(e),GAMpts,GF6PTA
EX_alahis(e),EX_his_L(e),HISTP
EX_alahis(e),EX_his_L(e),HSTPTr
EX_alahis(e),EX_his_L(e),IG3PS
EX_alahis(e),EX_his_L(e),IGPDH
EX_alahis(e),EX_his_L(e),IMPC
EX_alahis(e),EX_his_L(e),PRAMPC
EX_alahis(e),EX_his_L(e),PRATPP
EX_alahis(e),EX_his_L(e),PRMICI
EX_alahis(e),HISTP,HISt2r
EX_alahis(e),HISt2r,HSTPTr
EX_alahis(e),HISt2r,IG3PS
EX_alahis(e),HISt2r,IGPDH
EX_alahis(e),HISt2r,IMPC
EX_alahis(e),HISt2r,PRAMPC
EX_alahis(e),HISt2r,PRATPP
EX_alahis(e),HISt2r,PRMICI
EX_alathr(e),EX_thr_L(e),HSK
EX_alathr(e),EX_thr_L(e),THRS
EX_alathr(e),HSK,THRt2r
EX_alathr(e),THRS,THRt2r
EX_co2(e),EX_gcald(e),PPCKr
EX_co2(e),GCALDL,PPCKr
EX_co2(e),GCALDt,PPCKr
EX_csn(e),EX_cytd(e),UMPK
EX_cytd(e),PYNP1r,UMPK
EX_gly(e),EX_pro_L(e),GLUt4r
EX_gly(e),GLUt4r,PROt4r
EX_glypro(e),EX_pro_L(e),G5SADs
EX_glypro(e),EX_pro_L(e),G5SDr
EX_glypro(e),EX_pro_L(e),GLU5K
EX_glypro(e),EX_pro_L(e),P5CRyr
EX_glypro(e),G5SADs,PROt4r
EX_glypro(e),G5SDr,PROt4r
EX_glypro(e),GLU5K,PROt4r
EX_glypro(e),P5CRyr,PROt4r
EX_glytyr(e),EX_tyr_L(e),TYRTA
EX_glytyr(e),TYRTA,TYRt2r
EX_nac(e),EX_nmn(e),NNDPR
EX_nac(e),EX_nmn(e),QULNS
EX_nac(e),NMNP,NNDPR
EX_nac(e),NMNP,QULNS
EX_nmn(e),NACt2r,NNDPR
EX_nmn(e),NACt2r,QULNS
EX_nmn(e),NADS1,NADS2
EX_ppi(e),PPA,PPIACPT
EX_pro_L(e),G5SADs,GLYPROPRO1c
EX_pro_L(e),G5SADs,GLYPROabc
EX_pro_L(e),G5SDr,GLYPROPRO1c
EX_pro_L(e),G5SDr,GLYPROabc
