12DGR180ti,PAPA180
3MOBS,LEUTA
ACCOACL,MALCOAPYRCT
ACGAMPM,G1PACT
ACGAMPM,PGAMT
ACGApts,G1PACT
ACGApts,PGAMT
ACLS_a,EX_val_L(e)
ACLS_b,EX_val_L(e)
ADK10,NDPK4
ADK2,PPA2
ADK3,NDPK1
AHC,AHCYSNS_r
AHC,DM_dhptd(c)
AHC,RHCCE
ALAR,ALATA_D
ALAR,GLUR
ALATA_D,GLUR
ANS,ANS2
ARGSL,ARGt2r
ARGSL,EX_arg_L(e)
ARGSS,ARGt2r
ARGSS,EX_arg_L(e)
BTNCLi,MALCOAPYRCT
CYTBD,EX_succ(e)
CYTBD,SUCCt2r
CYTK1,NTD4
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DHAD1,EX_val_L(e)
DMPPS,DMPPS2r
EX_12dgr180(e),PAPA180
EX_acgam(e),G1PACT
EX_acgam(e),PGAMT
EX_ile_L(e),ILETA
EX_nac(e),NAPRT
EX_nmn(e),NNATr
EX_o2(e),EX_succ(e)
EX_o2(e),OPHHX3
EX_o2(e),SUCCt2r
EX_pi(e),PIabc
EX_ptrc(e),ORNDC
EX_succ(e),O2t
EX_val_L(e),VALTA
FTHFL,MTHFC
GALK,PGMT
GK1,GK2
GMPS2,GUAPRT
H2CO3D,MALCOAPYRCT
HKt,Kt1r
IPDPS,IPDPS2
IPMDr,LEUTA
IPPMIa,LEUTA
IPPMIb,LEUTA
LEUTA,OMCDC
METFR,r0792
MG2abc,MGt5
NACt2r,NAPRT
NADK,NADK2
NAPRT,NNDPR
NAPRT,QULNS
NDPK2,UTPATPT
NMNAT,NNATr
NMNP,NNATr
O2t,OPHHX3
O2t,SUCCt2r
ORNDC,PTRCabc
PGMT,UDPG4E
PGMT,UGLT
PPNCL3,r0671
RNDR1,RNTR1
RPE,TKT1
RPE,TKT2
RPI,TKT1
TKT1,TKT2
TMDK1,TMDK2
TRPS1,TRPS2
TRPS1,TRPS3
