2DMMQ8abc,CHORS
2DMMQ8abc,DDPA
2DMMQ8abc,DHNAOT
2DMMQ8abc,DHQS
2DMMQ8abc,DHQTi
2DMMQ8abc,HETT
2DMMQ8abc,ICHORS
2DMMQ8abc,NPHS
2DMMQ8abc,PSCVT
2DMMQ8abc,SEPHCHS
2DMMQ8abc,SHCHCS3
2DMMQ8abc,SHK3Dr
2DMMQ8abc,SHKK
2DMMQ8abc,SUCBZL
2DMMQ8abc,SUCBZS
2MEBCOADH,OIVD1r
2MEBCOADH,OIVD3
3MEBCOADH,OIVD1r
3MEBCOADH,OIVD3
ACACT1r,CDPMEK
ACACT1r,DMPPS
ACACT1r,DXPRIi
ACACT1r,DXPS
ACACT1r,IPDDI
ACACT1r,MECDPDH2
ACACT1r,MECDPS
ACACT1r,MEPCT
ACCOACL,MALCOAPYRCT
ACGK,EX_orn(e)
ACGK,ORNt2r
ACKr,ACt2r
ACKr,EX_ac(e)
ACLS_a,EX_val_L(e)
ACLS_a,VALTA
ACLS_a,VALt2r
ACLS_b,EX_val_L(e)
ACLS_b,VALTA
ACLS_b,VALt2r
ACOAAGPAT180,AGPAT180
ACOTA,EX_orn(e)
ACOTA,ORNt2r
ACt2r,PTAr
ADAD,RNDR3
ADK10,NDPK4
ADK3,NDPK1
ADK8,NDPK7
ADK9,NDPK5
ADOCBIK,ADOCBIK2
AGPR,EX_orn(e)
AGPR,ORNt2r
ANPRT,EX_trp_L(e)
ANPRT,TRPt2r
BTNCLi,MALCOAPYRCT
CDPMEK,DPMVDc
CDPMEK,HMGCOARxi
CDPMEK,HMGCOAS
CDPMEK,IPDDI
CDPMEK,MEVK1c
CDPMEK,PMEVKc
CHORS,EX_2dmmq8(e)
CHORS,EX_trp_L(e)
CHORS,TRPt2r
CPPPGO,EX_pheme(e)
CPPPGO,HEMEti
CTPS1,CTPS2
CYTK1,NTD4
CYTK2,RNDR3
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DCYTt2r,RNDR3
DDPA,EX_2dmmq8(e)
DDPA,EX_trp_L(e)
DDPA,TRPt2r
DGK1,RNDR2
DHAD1,EX_val_L(e)
DHAD1,VALTA
DHAD1,VALt2r
DHNAOT,EX_2dmmq8(e)
DHPPDA,DHPPDA2
DHPPDA,GTPCII2
DHPPDA2,GTPCII
DHQS,EX_2dmmq8(e)
DHQS,EX_trp_L(e)
DHQS,TRPt2r
DHQTi,EX_2dmmq8(e)
DHQTi,EX_trp_L(e)
DHQTi,TRPt2r
DMPPS,DPMVDc
DMPPS,HMGCOARxi
DMPPS,HMGCOAS
DMPPS,IPDDI
DMPPS,MEVK1c
DMPPS,PMEVKc
DPMVDc,DXPRIi
DPMVDc,DXPS
DPMVDc,IPDDI
DPMVDc,MECDPDH2
DPMVDc,MECDPS
DPMVDc,MEPCT
DXPRIi,HMGCOARxi
DXPRIi,HMGCOAS
DXPRIi,IPDDI
DXPRIi,MEVK1c
DXPRIi,PMEVKc
DXPS,HMGCOARxi
DXPS,HMGCOAS
DXPS,IPDDI
DXPS,MEVK1c
DXPS,PMEVKc
EX_2dmmq8(e),HETT
EX_2dmmq8(e),ICHORS
EX_2dmmq8(e),NPHS
EX_2dmmq8(e),PSCVT
EX_2dmmq8(e),SEPHCHS
EX_2dmmq8(e),SHCHCS3
EX_2dmmq8(e),SHK3Dr
