ECP_2849,ECP_0959
ECP_0959,ECP_4059
ECP_0959,ECP_0513
ECP_2668,ECP_3285
ECP_0079,ECP_3878
ECP_0079,ECP_3877
ECP_0080,ECP_3878
ECP_0080,ECP_3877
ECP_1793,ECP_2502
ECP_0125,ECP_1329
ECP_1082,plsB
ECP_0535,ECP_2523
ECP_0535,ECP_1255
ECP_0535,ECP_4337
ECP_0440,ECP_0094
ECP_1233,ECP_4270
ECP_2552,ECP_2905
ECP_2552,ECP_4772
ECP_3149,plsB
ECP_0686,ECP_3943
ECP_4149,ECP_0002
ECP_0165,ECP_1536
ECP_2457,ECP_4077
ECP_3091,ECP_1566
ECP_2444,ECP_2438
ECP_0921,ECP_0179
ECP_3052,ECP_3057
ECP_3052,ECP_3055
ECP_3052,ECP_3056
ECP_0048,ECP_1550
ECP_0101,ECP_1809
ECP_2916,ECP_1727
ECP_1707,ECP_3302
ECP_1707,gltB
ECP_2072,ECP_3471
ECP_3590,ECP_0902
ECP_0267,ECP_2510
ECP_2862,ECP_2510
ECP_2860,ECP_2510
ECP_2861,ECP_2510
ECP_2534,ECP_1629
ECP_2534,ECP_1630
ECP_2534,ECP_1626
ECP_2534,ECP_1628
ECP_2534,ECP_1627
ECP_2534,ECP_1631
ECP_2533,ECP_1629
ECP_2533,ECP_1630
ECP_2533,ECP_1626
ECP_2533,ECP_1628
ECP_2533,ECP_1627
ECP_2533,ECP_1631
ECP_4228,ECP_4023
ECP_2446,ECP_0777
ECP_2446,ECP_0776
ECP_2446,ECP_0775
ECP_0777,ECP_2445
ECP_0777,ECP_2447
ECP_0776,ECP_2445
ECP_0776,ECP_2447
ECP_2445,ECP_0775
ECP_0775,ECP_2447
ECP_3072,ECP_3924
ECP_3072,ECP_3925
ECP_3072,ECP_3927
ECP_3072,ECP_3926
ECP_1255,ECP_4337
ECP_1639,ECP_3369
ECP_0447,ECP_3476
ECP_3210,ECP_3965
