C_RS05135,C_RS01705,C_RS22410
C_RS23960,C_RS03785,C_RS03800
C_RS23960,C_RS03785,C_RS03795
C_RS23960,C_RS03790,C_RS03800
C_RS23960,C_RS03790,C_RS03795
C_RS23960,C_RS00680,C_RS03800
C_RS23960,C_RS00680,C_RS03795
C_RS02730,C_RS25830,C_RS19655
C_RS03785,C_RS16610,C_RS03800
C_RS03785,C_RS16610,C_RS03795
C_RS03790,C_RS16610,C_RS03800
C_RS03790,C_RS16610,C_RS03795
C_RS00680,C_RS14580,C_RS02980
C_RS00680,C_RS16610,C_RS03800
C_RS00680,C_RS16610,C_RS03795
C_RS00680,C_RS02980,C_RS16590
C_RS00680,C_RS02980,C_RS25860
C_RS04750,C_RS14580,C_RS20970
C_RS04750,C_RS14580,C_RS20965
C_RS14580,C_RS16550,C_RS02980
C_RS14580,C_RS16545,C_RS02980
C_RS14580,C_RS16555,C_RS02980
C_RS14580,C_RS23555,C_RS23230
C_RS14580,C_RS23230,C_RS03760
C_RS14580,C_RS23230,C_RS03775
C_RS14580,C_RS23230,C_RS03765
C_RS14580,C_RS23230,C_RS03770
C_RS13830,C_RS13435,C_RS20755
C_RS24100,C_RS19685,C_RS16595
C_RS02910,C_RS23555,C_RS23230
C_RS02910,C_RS23230,C_RS03760
C_RS02910,C_RS23230,C_RS03775
C_RS02910,C_RS23230,C_RS03765
C_RS02910,C_RS23230,C_RS03770
C_RS02890,C_RS23555,C_RS23230
C_RS02890,C_RS23230,C_RS03760
C_RS02890,C_RS23230,C_RS03775
C_RS02890,C_RS23230,C_RS03765
C_RS02890,C_RS23230,C_RS03770
C_RS21970,C_RS10330,C_RS10715
C_RS21970,C_RS10330,C_RS10720
C_RS21970,C_RS10330,C_RS23020
C_RS21970,C_RS10715,C_RS16640
C_RS21970,C_RS10720,C_RS16640
C_RS21970,C_RS16640,C_RS23020
C_RS21990,C_RS10330,C_RS10715
C_RS21990,C_RS10330,C_RS10720
C_RS21990,C_RS10330,C_RS23020
C_RS21990,C_RS10715,C_RS16640
C_RS21990,C_RS10720,C_RS16640
C_RS21990,C_RS16640,C_RS23020
C_RS21965,C_RS10330,C_RS10715
C_RS21965,C_RS10330,C_RS10720
C_RS21965,C_RS10330,C_RS23020
C_RS21965,C_RS10715,C_RS16640
C_RS21965,C_RS10720,C_RS16640
C_RS21965,C_RS16640,C_RS23020
C_RS21980,C_RS10330,C_RS10715
C_RS21980,C_RS10330,C_RS10720
C_RS21980,C_RS10330,C_RS23020
C_RS21980,C_RS10715,C_RS16640
C_RS21980,C_RS10720,C_RS16640
C_RS21980,C_RS16640,C_RS23020
C_RS21975,C_RS10330,C_RS10715
C_RS21975,C_RS10330,C_RS10720
C_RS21975,C_RS10330,C_RS23020
C_RS21975,C_RS10715,C_RS16640
C_RS21975,C_RS10720,C_RS16640
C_RS21975,C_RS16640,C_RS23020
C_RS21960,C_RS10330,C_RS10715
C_RS21960,C_RS10330,C_RS10720
C_RS21960,C_RS10330,C_RS23020
C_RS21960,C_RS10715,C_RS16640
C_RS21960,C_RS10720,C_RS16640
C_RS21960,C_RS16640,C_RS23020
C_RS21955,C_RS10330,C_RS10715
C_RS21955,C_RS10330,C_RS10720
C_RS21955,C_RS10330,C_RS23020
C_RS21955,C_RS10715,C_RS16640
C_RS21955,C_RS10720,C_RS16640
C_RS21955,C_RS16640,C_RS23020
C_RS21985,C_RS10330,C_RS10715
C_RS21985,C_RS10330,C_RS10720
C_RS21985,C_RS10330,C_RS23020
C_RS21985,C_RS10715,C_RS16640
C_RS21985,C_RS10720,C_RS16640
C_RS21985,C_RS16640,C_RS23020
C_RS22385,C_RS25220,C_RS20210
C_RS22385,C_RS25220,C_RS20220
C_RS22385,C_RS25220,C_RS20215
C_RS22385,C_RS25220,C_RS20205
C_RS22385,C_RS25220,C_RS20200
C_RS02125,C_RS04945,C_RS15725
C_RS09935,C_RS03930,C_RS14845
C_RS14755,C_RS22185,C_RS20325
C_RS09450,C_RS09445,C_RS23230
C_RS10330,C_RS23555,C_RS09920
C_RS10330,C_RS09920,C_RS03760
C_RS10330,C_RS09920,C_RS03775
C_RS10330,C_RS09920,C_RS03765
C_RS10330,C_RS09920,C_RS03770
C_RS15880,C_RS19775,C_RS09920
C_RS16550,C_RS02980,C_RS16590
C_RS16550,C_RS02980,C_RS25860
C_RS16545,C_RS02980,C_RS16590
C_RS16545,C_RS02980,C_RS25860
C_RS16555,C_RS02980,C_RS16590
C_RS16555,C_RS02980,C_RS25860
C_RS20325,C_RS13180,C_RS25195
C_RS20325,C_RS13175,C_RS25195
C_RS16355,C_RS23555,C_RS23230
C_RS16355,C_RS23230,C_RS03760
C_RS16355,C_RS23230,C_RS03775
C_RS16355,C_RS23230,C_RS03765
C_RS16355,C_RS23230,C_RS03770
C_RS16365,C_RS23555,C_RS23230
C_RS16365,C_RS23230,C_RS03760
C_RS16365,C_RS23230,C_RS03775
C_RS16365,C_RS23230,C_RS03765
C_RS16365,C_RS23230,C_RS03770
C_RS16360,C_RS23555,C_RS23230
C_RS16360,C_RS23230,C_RS03760
C_RS16360,C_RS23230,C_RS03775
C_RS16360,C_RS23230,C_RS03765
C_RS16360,C_RS23230,C_RS03770
C_RS23555,C_RS02980,C_RS23230
C_RS23555,C_RS16590,C_RS23230
C_RS23555,C_RS16640,C_RS09920
C_RS23555,C_RS23230,C_RS25860
C_RS23555,C_RS23230,C_RS02860
C_RS17570,C_RS23550,C_RS23230
C_RS00850,C_RS19735,C_RS14450
C_RS02980,C_RS04905,C_RS23205
C_RS02980,C_RS04905,C_RS23210
C_RS02980,C_RS23230,C_RS03760
C_RS02980,C_RS23230,C_RS03775
C_RS02980,C_RS23230,C_RS03765
C_RS02980,C_RS23230,C_RS03770
C_RS08185,C_RS18105,C_RS04380
C_RS16590,C_RS23230,C_RS03760
C_RS16590,C_RS23230,C_RS03775
C_RS16590,C_RS23230,C_RS03765
C_RS16590,C_RS23230,C_RS03770
C_RS16640,C_RS09920,C_RS03760
C_RS16640,C_RS09920,C_RS03775
C_RS16640,C_RS09920,C_RS03765
C_RS16640,C_RS09920,C_RS03770
C_RS23230,C_RS25860,C_RS03760
C_RS23230,C_RS25860,C_RS03775
C_RS23230,C_RS25860,C_RS03765
C_RS23230,C_RS25860,C_RS03770
C_RS23230,C_RS03760,C_RS02860
C_RS23230,C_RS03775,C_RS02860
C_RS23230,C_RS03765,C_RS02860
C_RS23230,C_RS03770,C_RS02860
C_RS25830,C_RS19655,C_RS07775
C_RS13180,C_RS15340,C_RS25195
C_RS13180,C_RS15345,C_RS25195
C_RS13175,C_RS15340,C_RS25195
C_RS13175,C_RS15345,C_RS25195
C_RS15340,C_RS25195,C_RS04850
C_RS15345,C_RS25195,C_RS04850
