ETEC_3023,ETEC_1024
ETEC_1024,ETEC_4121
ETEC_1024,ETEC_0505
ETEC_3462,ETEC_2899
ETEC_0077,ETEC_3964
ETEC_0077,ETEC_3965
ETEC_3964,ETEC_0076
ETEC_3965,ETEC_0076
ETEC_1882,ETEC_2605
ETEC_1380,ETEC_0114
ETEC_1155,ETEC_4296
ETEC_0526,ETEC_2675
ETEC_0526,ETEC_1311
ETEC_0526,ETEC_4403
ETEC_0434,ETEC_0090
ETEC_4363,ETEC_1294
ETEC_2708,ETEC_3105
ETEC_2708,ETEC_4743
ETEC_3330,ETEC_4296
ETEC_0691,ETEC_4035
ETEC_4209,ETEC_0002
ETEC_1626,ETEC_0151
ETEC_2549,ETEC_4136
ETEC_3280,ETEC_1656
ETEC_2527,ETEC_2534
ETEC_0978,ETEC_0166
ETEC_3242,ETEC_3246
ETEC_3242,ETEC_3245
ETEC_3242,ETEC_3247
ETEC_1640,ETEC_0048
ETEC_0097,ETEC_1898
ETEC_1811,ETEC_3119
ETEC_1401,ETEC_4139
ETEC_1793,ETEC_3477
ETEC_1793,ETEC_3478
ETEC_2173,ETEC_3636
ETEC_3747,ETEC_0956
ETEC_0261,ETEC_2665
ETEC_0395,ETEC_0122
ETEC_3060,ETEC_2665
ETEC_3062,ETEC_2665
ETEC_3061,ETEC_2665
ETEC_2686,ETEC_1713
ETEC_2686,ETEC_1715
ETEC_2686,ETEC_1714
ETEC_2686,ETEC_1716
ETEC_2686,ETEC_1712
ETEC_2686,ETEC_1717
ETEC_2685,ETEC_1713
ETEC_2685,ETEC_1715
ETEC_2685,ETEC_1714
ETEC_2685,ETEC_1716
ETEC_2685,ETEC_1712
ETEC_2685,ETEC_1717
ETEC_4106,ETEC_4274
ETEC_0767,ETEC_2536
ETEC_0767,ETEC_2535
ETEC_0767,ETEC_2537
ETEC_0768,ETEC_2536
ETEC_0768,ETEC_2535
ETEC_0768,ETEC_2537
ETEC_0769,ETEC_2536
ETEC_0769,ETEC_2535
ETEC_0769,ETEC_2537
ETEC_3261,ETEC_4019
ETEC_3261,ETEC_4017
ETEC_3261,ETEC_4018
ETEC_3261,ETEC_4016
ETEC_1311,ETEC_4403
ETEC_1725,ETEC_3533
ETEC_0441,ETEC_3640
ETEC_3385,ETEC_4055
