3MOBS,LEUTA
ACCOAC,ACCOACL
ACCOAC,BTNCLi
ACHBPL,EX_ile_L(e)
ACHBPL,ILETA
ACHBPL,ILEt2r
ACLS_b,EX_val_L(e)
ACLS_b,VALt2r
ACOAAGPAT180,AGPAT180
ACOAAGPAT180,STCOATA
ADK10,NDPK4
ADK3,NDPK1
ADNK1,ADPT
ADPT,PUNP1
ANPRT,EX_trp_L(e)
ANPRT,TRPt2r
ARGSL,EX_arg_L(e)
ARGSSr,EX_arg_L(e)
ARGabc,ARGt2
CTPS1,CTPS2
CYTD,CYTK1
CYTK1,NTD4
DAPDC,EX_lys_L(e)
DAPDC,LYSt2r
DHAD1,EX_val_L(e)
DHAD1,VALt2r
DHAD2,EX_ile_L(e)
DHAD2,ILETA
DHAD2,ILEt2r
DHNAOT,DHNAOT4
DHPPDA,DHPPDA2
DHPPDA,GTPCII2
DHPPDA2,GTPCII
DMPPS,DMPPS2r
DM_dhptd(c),RHC
DM_hcys_L[c],METS
EX_arg_L(e),EX_orn(e)
EX_arg_L(e),r1667
EX_fe2(e),EX_fe3(e)
EX_fe2(e),FE2DH
EX_fe2(e),FE3abc
EX_fe3(e),FE2abc
EX_gal(e),GALU
EX_gal(e),PGMT
EX_glyc(e),GLYK
EX_glyc3p(e),EX_pi(e)
EX_gua(e),IMPD
EX_ile_L(e),ILETA
EX_nac(e),EX_nmn(e)
EX_nac(e),NMNAT
EX_nac(e),NMNP
EX_nmn(e),NACt2r
EX_nmn(e),NNATr
EX_orn(e),EX_ptrc(e)
EX_orn(e),PTRCabc
EX_pi(e),GLYC3Pt
EX_pro_L(e),NAt3_1
EX_ptrc(e),ORNDC
EX_ptrc(e),r1667
EX_rib_D(e),RPI
EX_trp_L(e),IGPS
EX_trp_L(e),PRAI
EX_val_L(e),VALTA
FE2DH,FE2abc
FE2abc,FE3abc
G3PAT180,SGAT
GALK,GALU
GALK,PGMT
GALT,GALU
GALT,PGMT
GALU,GALabc
GALU,PGMT
GALU,UDPG4E
GALabc,PGMT
GHMT2r,GLYCL
GK1,GK2
GLYCt,GLYK
GMPS2,GUAPRT
GTPCII,GTPCII2
GUAt2,IMPD
IGPS,TRPt2r
ILETA,ILEt2r
IPDPS,IPDPS2
IPMDr,LEUTA
IPPMIa,LEUTA
IPPMIb,LEUTA
Kt1r,ZN2t4
Kt1r,ZNabc
LEUTA,OMCDC
METFR,r0792
MG2abc,MGt5
NACt2r,NMNAT
NACt2r,NMNP
NADK,NADK2
NAt3_1,PROt4r
NDPK2,UTPATPT
NMNAT,NNATr
NMNP,NNATr
ORNDC,PTRCabc
PGMT,UDPG4E
PPNCL3,r0671
PRAI,TRPt2r
PTRCabc,r1667
PYNP2r,UPPRT
RBK,RPI
RHC,RHCCE
RIBabc,RPI
RNDR1,RNTR1
RNDR2,RNTR2
RPE,TKT1
RPI,TKT1
SGAT,STCOATA
TKT1,TKT2
VALTA,VALt2r
ZN2t4,ZNabc
