THRS,THRD_L
THRS,HSST
THRD_L,HSST
THRD_L,HSK
TALA,RPE
TALA,TKT2
SHSL4r,HSST
SADT2,SADT
RPE,PGL
RPE,TKT2
RPE,TKT1
RPE,GND
RPE,G6PDH2r
PUNP5,HXPRT
PREPTTA,PREPHACPH
PREPHACPH,FACOALPREPH
PIt,PIabc
PGM,PGK
PGM,GAPD
PGL,TKT2
PGK,ENO
PGI,GLCabc
PGI,EX_glc__D_e
P5CRx,P5CR
MMSAD3,ALATA_L
MANAT2,G16MTM2
MAN1PT2,MAN1PT
UMPK_copy1,UMPK_copy2
TRPS3,TRPS1
TRPS2,TRPS1
TKT2,TKT1
TKT2,GND
TKT2,G6PDH2r
IPDPS,IPDDI
IPDPS,DMPPS
IPDDI,DMPPS
ICDHyr,GLUt2r
ICDHyr,EX_glu__L_e
HSST,HSK
HSDy,HSDxi
GLYK,G3PD1ir
GLUt2r,NH4t
GLUt2r,EX_nh4_e
GLUt2r,ACONT
GLU5K,ORNTA
GLCabc,FBP
GLCabc,FBA
GAPD,ENO
EX_glu__L_e,NH4t
EX_glu__L_e,EX_nh4_e
EX_glu__L_e,ACONT
EX_glc__D_e,FBP
EX_glc__D_e,FBA
ORNTAC,ACODA
ORNTAC,ACGS
NTPP5,DADK
NTPP3,CYTK2
NDPK8,DADK
NDPK7,CYTK2
DESAT18,FAS181
DESAT18,FACOAL181
DESAT16,FAS161
DCPT2,DCPT
DCPT2,DCPE
DCPT2,DCPDPP
DCPT,DCPDPP2
DCPT,ARI
DCPE,DCPDPP2
DCPE,ARI
DCPDPP2,DCPDPP
DCPDPP,ARI
CTPS2,CTPS1
ASP1DC,ALATA_L
ARGSS,ARGDr
ARGSL,ARGDr
APATr,ALATA_L
AIRCr,AIRC3
AIRCr,AIRC2
AICART2,AICART
FAS181,FACOAL181
FAS181,FACOAL180
FAS161,FACOAL161
FACOAL181,FACOAL180
