S3044,S1020
S1020,S3830
S1020,S0403
S3455,S2922
S0074,S3978
S0074,S3977
S3978,S0075
S3977,S0075
S1925,S2693
S0117,S1363
S1174,S3567
S0583,S0582
S0583,S0581
S0115,S0582
S0115,S0581
S0584,S0582
S0584,S0581
S0254,S0091
S3578,S1267
S2770,S3098
S2770,S4691
S3305,S3567
S0630,S3944
S0002,S3729
S0460,S0031
S0460,S0032
S1745,S0150
S3256,S1779
S2622,S2615
S0970,S2960
S0970,S0164
S0047,S1759
S3112,S1559
S1384,S3806
S2212,S4358
S4237,S0888
S0307,S2726
S3070,S2726
S3068,S2726
S3069,S2726
S2748,S1842
S2748,S1845
S2748,S1844
S2748,S1841
S2748,S1843
S2748,S1846
S2747,S1842
S2747,S1845
S2747,S1844
S2747,S1841
S2747,S1843
S2747,S1846
S3649,S3713
S3216,S3713
S0144,S4348
S3848,S3645
S0548,S2624
S0548,S2623
S0548,S2625
S2624,S0547
S2624,S0549
S0547,S2623
S0547,S2625
S0549,S2623
S0549,S2625
S3713,S0587
S3713,S0589
S3713,S0586
S3713,S0588
S1854,S3537
S4358,S3099
S4354,S0332
S3369,S3912
