SF2846,SF0954
SF0954,SF3922
SF0954,SF0397
SF3237,SF2731
SF3790,SF0072
SF3790,SF0073
SF0072,SF3791
SF3791,SF0073
SF1859,SF2544
SF1280,SF0115
SF1094,SF4164
SF0571,SF0569
SF0571,SF0568
SF0113,SF0569
SF0113,SF0568
SF0570,SF0569
SF0570,SF0568
SF0232,SF0089
SF1179,SF4152
SF2598,SF2898
SF2598,SF4420
SF3100,SF4164
SF0619,SF3824
SF4018,SF0002
SF0452,SF0029
SF0452,SF0030
SF0147,SF1613
SF2489,SF3937
SF2469,SF2476
SF0980,SF4033
SF0981,SF4033
SF0906,SF2767
SF0906,SF0161
SF0045,SF1627
SF2912,SF1444
SF1302,SF3940
SF1462,SF3252
SF1462,SF3253
SF2091,SF3404
SF3531,SF0847
SF0286,SF2554
SF2869,SF2554
SF2868,SF2554
SF2870,SF2554
SF2576,SF1708
SF2576,SF1711
SF2576,SF1712
SF2576,SF1713
SF2576,sufS
SF2576,SF1714
SF2575,SF1708
SF2575,SF1711
SF2575,SF1712
SF2575,SF1713
SF2575,sufS
SF2575,SF1714
SF4081,SF4033
SF3015,SF4033
SF4085,SF3907
SF3034,SF3729
SF3034,SF3727
SF3034,SF3728
SF3034,SF3730
SF4033,SF0576
SF4033,SF0575
SF4033,SF0573
SF4033,SF0574
SF1722,SF3313
SF3404,SF2899
SF3408,SF0324
SF3157,SF3847
