SA_RS01960,SA_RS03095,SA_RS01310
SA_RS06730,SA_RS04650,SA_RS07730
SA_RS06730,SA_RS04650,SA_RS07725
SA_RS06730,SA_RS04650,SA_RS04330
SA_RS06730,SA_RS04650,SA_RS07735
SA_RS06730,SA_RS04650,SA_RS11015
SA_RS06730,SA_RS04650,SA_RS08760
SA_RS11290,SA_RS10960,SA_RS01095
SA_RS11290,SA_RS10960,SA_RS07120
SA_RS11290,SA_RS10960,SA_RS08565
SA_RS11290,SA_RS10960,SA_RS04680
SA_RS11290,SA_RS10960,SA_RS04145
SA_RS11290,SA_RS10990,SA_RS01095
SA_RS11290,SA_RS10990,SA_RS07120
SA_RS11290,SA_RS10990,SA_RS08565
SA_RS11290,SA_RS10990,SA_RS04680
SA_RS11290,SA_RS10990,SA_RS04145
SA_RS11290,SA_RS10975,SA_RS01095
SA_RS11290,SA_RS10975,SA_RS07120
SA_RS11290,SA_RS10975,SA_RS08565
SA_RS11290,SA_RS10975,SA_RS04680
SA_RS11290,SA_RS10975,SA_RS04145
SA_RS11290,SA_RS10995,SA_RS01095
SA_RS11290,SA_RS10995,SA_RS07120
SA_RS11290,SA_RS10995,SA_RS08565
SA_RS11290,SA_RS10995,SA_RS04680
SA_RS11290,SA_RS10995,SA_RS04145
SA_RS11290,SA_RS10970,SA_RS01095
SA_RS11290,SA_RS10970,SA_RS07120
SA_RS11290,SA_RS10970,SA_RS08565
SA_RS11290,SA_RS10970,SA_RS04680
SA_RS11290,SA_RS10970,SA_RS04145
SA_RS11290,SA_RS10985,SA_RS01095
SA_RS11290,SA_RS10985,SA_RS07120
SA_RS11290,SA_RS10985,SA_RS08565
SA_RS11290,SA_RS10985,SA_RS04680
SA_RS11290,SA_RS10985,SA_RS04145
SA_RS11290,SA_RS10965,SA_RS01095
SA_RS11290,SA_RS10965,SA_RS07120
SA_RS11290,SA_RS10965,SA_RS08565
SA_RS11290,SA_RS10965,SA_RS04680
SA_RS11290,SA_RS10965,SA_RS04145
SA_RS11290,SA_RS11000,SA_RS01095
SA_RS11290,SA_RS11000,SA_RS07120
SA_RS11290,SA_RS11000,SA_RS08565
SA_RS11290,SA_RS11000,SA_RS04680
SA_RS11290,SA_RS11000,SA_RS04145
SA_RS11290,SA_RS10980,SA_RS01095
SA_RS11290,SA_RS10980,SA_RS07120
SA_RS11290,SA_RS10980,SA_RS08565
SA_RS11290,SA_RS10980,SA_RS04680
SA_RS11290,SA_RS10980,SA_RS04145
SA_RS11290,SA_RS04650,SA_RS01095
SA_RS11290,SA_RS04650,SA_RS07120
SA_RS11290,SA_RS04650,SA_RS08565
SA_RS11290,SA_RS04650,SA_RS04680
SA_RS11290,SA_RS11015,SA_RS01095
SA_RS11290,SA_RS11015,SA_RS07120
SA_RS11290,SA_RS01095,SA_RS08760
SA_RS11290,SA_RS01095,SA_RS09005
SA_RS11290,SA_RS07120,SA_RS08760
SA_RS11290,SA_RS07120,SA_RS09005
SA_RS11290,SA_RS04680,SA_RS09005
SA_RS10960,SA_RS01095,SA_RS09865
SA_RS10960,SA_RS07120,SA_RS09865
SA_RS10960,SA_RS08565,SA_RS09865
SA_RS10960,SA_RS04680,SA_RS09865
SA_RS10960,SA_RS04145,SA_RS09865
SA_RS10960,SA_RS09865,SA_RS04150
SA_RS10990,SA_RS01095,SA_RS09865
SA_RS10990,SA_RS07120,SA_RS09865
SA_RS10990,SA_RS08565,SA_RS09865
SA_RS10990,SA_RS04680,SA_RS09865
SA_RS10990,SA_RS04145,SA_RS09865
SA_RS10990,SA_RS09865,SA_RS04150
SA_RS10975,SA_RS01095,SA_RS09865
SA_RS10975,SA_RS07120,SA_RS09865
SA_RS10975,SA_RS08565,SA_RS09865
SA_RS10975,SA_RS04680,SA_RS09865
SA_RS10975,SA_RS04145,SA_RS09865
SA_RS10975,SA_RS09865,SA_RS04150
SA_RS10995,SA_RS01095,SA_RS09865
SA_RS10995,SA_RS07120,SA_RS09865
SA_RS10995,SA_RS08565,SA_RS09865
SA_RS10995,SA_RS04680,SA_RS09865
SA_RS10995,SA_RS04145,SA_RS09865
SA_RS10995,SA_RS09865,SA_RS04150
SA_RS10970,SA_RS01095,SA_RS09865
SA_RS10970,SA_RS07120,SA_RS09865
SA_RS10970,SA_RS08565,SA_RS09865
SA_RS10970,SA_RS04680,SA_RS09865
SA_RS10970,SA_RS04145,SA_RS09865
SA_RS10970,SA_RS09865,SA_RS04150
SA_RS10985,SA_RS01095,SA_RS09865
SA_RS10985,SA_RS07120,SA_RS09865
SA_RS10985,SA_RS08565,SA_RS09865
SA_RS10985,SA_RS04680,SA_RS09865
SA_RS10985,SA_RS04145,SA_RS09865
SA_RS10985,SA_RS09865,SA_RS04150
SA_RS10965,SA_RS01095,SA_RS09865
SA_RS10965,SA_RS07120,SA_RS09865
SA_RS10965,SA_RS08565,SA_RS09865
SA_RS10965,SA_RS04680,SA_RS09865
SA_RS10965,SA_RS04145,SA_RS09865
SA_RS10965,SA_RS09865,SA_RS04150
SA_RS11000,SA_RS01095,SA_RS09865
SA_RS11000,SA_RS07120,SA_RS09865
SA_RS11000,SA_RS08565,SA_RS09865
SA_RS11000,SA_RS04680,SA_RS09865
SA_RS11000,SA_RS04145,SA_RS09865
SA_RS11000,SA_RS09865,SA_RS04150
SA_RS10980,SA_RS01095,SA_RS09865
SA_RS10980,SA_RS07120,SA_RS09865
SA_RS10980,SA_RS08565,SA_RS09865
SA_RS10980,SA_RS04680,SA_RS09865
SA_RS10980,SA_RS04145,SA_RS09865
SA_RS10980,SA_RS09865,SA_RS04150
SA_RS05765,SA_RS13905,SA_RS05945
SA_RS05765,SA_RS13905,SA_RS05940
SA_RS12840,SA_RS03860,SA_RS09865
SA_RS12840,SA_RS03855,SA_RS09865
SA_RS03860,SA_RS12830,SA_RS09865
