'g.208127.CDS.1143','g.208127.CDS.1'
'g.208127.CDS.1764','g.208127.CDS.2890'
'g.208127.CDS.1764','g.208127.CDS.87'
'g.208127.CDS.1152','g.208127.CDS.4289'
'g.208127.CDS.4198','g.208127.CDS.2890'
'g.208127.CDS.4310','g.208127.CDS.2890'
'g.208127.CDS.5696','g.208127.CDS.5819'
'g.208127.CDS.1949','g.208127.CDS.3247'
'g.208127.CDS.2178','g.208127.CDS.503'
'g.208127.CDS.221','g.208127.CDS.3315'
'g.208127.CDS.447','g.208127.CDS.3972'
'g.208127.CDS.1408','g.208127.CDS.1807'
'g.208127.CDS.1682','g.208127.CDS.268'
'g.208127.CDS.1019','g.208127.CDS.2344'
'g.208127.CDS.2366','g.208127.CDS.4417'
'g.208127.CDS.1218','g.208127.CDS.5815'
'g.208127.CDS.1014','g.208127.CDS.5738'
'g.208127.CDS.2903','g.208127.CDS.3972'
'g.208127.CDS.5790','g.208127.CDS.5891'
'g.208127.CDS.706','g.208127.CDS.4898'
'g.208127.CDS.410','g.208127.CDS.6071'
'g.208127.CDS.4413','g.208127.CDS.5980'
'g.208127.CDS.1039','g.208127.CDS.1844'
'g.208127.CDS.4270','g.208127.CDS.2383'
'g.208127.CDS.2890','g.208127.CDS.1320'
'g.208127.CDS.2890','g.208127.CDS.578'
'g.208127.CDS.2890','g.208127.CDS.3764'
'g.208127.CDS.311','g.208127.CDS.3972'
'g.208127.CDS.1879','g.208127.CDS.1554'
'g.208127.CDS.3330','g.208127.CDS.5841'
'g.208127.CDS.1439','g.208127.CDS.452'
'g.208127.CDS.1439','g.208127.CDS.653'
'g.208127.CDS.5408','g.208127.CDS.5815'
'g.208127.CDS.5419','g.208127.CDS.5530'
'g.208127.CDS.2043','g.208127.CDS.6085'
'g.208127.CDS.1699','g.208127.CDS.5632'
'g.208127.CDS.4286','g.208127.CDS.1383'
'g.208127.CDS.3391','g.208127.CDS.5090'
'g.208127.CDS.3269','g.208127.CDS.667'
'g.208127.CDS.3674','g.208127.CDS.86'
'g.208127.CDS.108','g.208127.CDS.36'
'g.208127.CDS.4931','g.208127.CDS.5957'
'g.208127.CDS.3177','g.208127.CDS.6059'
