'g.2555.peg.102','g.2555.peg.740'
'591001.3.peg.1317','591001.3.peg.1363'
'g.2555.peg.1802','g.2555.peg.1860'
'g.2555.peg.1452','591001.3.peg.953'
'g.2555.peg.1723','591001.3.peg.955'
'g.2555.peg.1723','591001.3.peg.953'
'g.2555.peg.1062','591001.3.peg.955'
'g.2555.peg.1062','591001.3.peg.953'
'g.2555.peg.449','591001.3.peg.46'
'g.2555.peg.449','591001.3.peg.47'
'591001.3.peg.1168','591001.3.peg.702'
'591001.3.peg.1167','591001.3.peg.702'
'g.2555.peg.236','g.2555.peg.1449'
'g.2555.peg.56','g.2555.peg.1693'
'591001.3.peg.1553','591001.3.peg.875'
'g.2555.peg.218','g.2555.peg.70'
'g.2555.peg.902','g.2555.peg.1827'
'g.2555.peg.1727','g.2555.peg.1449'
'g.2555.peg.492','g.2555.peg.1512'
'591001.3.peg.244','g.2555.peg.748'
'g.2555.peg.1777','g.2555.peg.1455'
'g.2555.peg.1262','g.2555.peg.193'
'591001.3.peg.243','g.2555.peg.748'
'591001.3.peg.1741','591001.3.peg.31'
'g.2555.peg.1616','g.2555.peg.1269'
'591001.3.peg.700','g.2555.peg.685'
'591001.3.peg.1206','591001.3.peg.702'
'591001.3.peg.1205','591001.3.peg.702'
'591001.3.peg.1363','591001.3.peg.160'
'591001.3.peg.1363','591001.3.peg.158'
'591001.3.peg.1363','591001.3.peg.159'
'591001.3.peg.1363','591001.3.peg.164'
'g.2555.peg.808','591001.3.peg.1842'
'591001.3.peg.1517','g.2555.peg.28'
'g.2555.peg.1758','591001.3.peg.958'
'g.2555.peg.1758','591001.3.peg.956'
'591001.3.peg.998','g.2555.peg.748'
'g.2555.peg.1134','g.2555.peg.652'
'g.2555.peg.34','g.2555.peg.1161'
'g.2555.peg.629','g.2555.peg.1161'
'g.2555.peg.509','g.2555.peg.1161'
'g.2555.peg.191','g.2555.peg.1093'
'g.2555.peg.540','g.2555.peg.809'
'g.2555.peg.897','g.2555.peg.1049'
'591001.3.peg.702','591001.3.peg.1516'
'g.2555.peg.1856','g.2555.peg.393'
'g.2555.peg.1379','591001.3.peg.457'
'g.2555.peg.1712','g.2555.peg.74'
'g.2555.peg.377','g.2555.peg.1110'
'g.2555.peg.1935','g.2555.peg.1137'
