'g.26676.CDS.1615','435830.3.peg.1706','435830.3.peg.825'
'435830.3.peg.264','435830.3.peg.265','435830.3.peg.267'
'435830.3.peg.264','435830.3.peg.265','g.26676.CDS.1222'
'g.26676.CDS.1448','435830.3.peg.1615','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1615','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1615','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1615','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1616','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1616','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1616','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1616','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1617','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1617','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1617','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1617','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1618','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1618','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1618','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1618','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1619','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1619','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1619','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1619','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1620','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1620','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1620','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1620','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1621','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1621','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1621','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1621','435830.3.peg.1345'
'g.26676.CDS.1448','435830.3.peg.1622','435830.3.peg.383'
'g.26676.CDS.1448','435830.3.peg.1622','435830.3.peg.1725'
'g.26676.CDS.1448','435830.3.peg.1622','435830.3.peg.384'
'g.26676.CDS.1448','435830.3.peg.1622','435830.3.peg.1345'
'g.26676.CDS.1127','g.26676.CDS.1679','435830.3.peg.455'
'g.26676.CDS.1127','g.26676.CDS.1679','g.26676.CDS.1403'
'g.26676.CDS.1127','g.26676.CDS.1679','435830.3.peg.454'
'g.26676.CDS.1127','g.26676.CDS.1679','435830.3.peg.453'
'g.26676.CDS.1127','g.26676.CDS.1679','435830.3.peg.1093'
'g.26676.CDS.1127','g.26676.CDS.1679','g.26676.CDS.1321'
'g.26676.CDS.1127','g.26676.CDS.1679','g.26676.CDS.1426'
'g.26676.CDS.854','435830.3.peg.679','435830.3.peg.1527'
'g.26676.CDS.854','435830.3.peg.679','435830.3.peg.1528'
'g.26676.CDS.854','435830.3.peg.679','435830.3.peg.1529'
'g.26676.CDS.854','435830.3.peg.680','435830.3.peg.1527'
'g.26676.CDS.854','435830.3.peg.680','435830.3.peg.1528'
'g.26676.CDS.854','435830.3.peg.680','435830.3.peg.1529'
'435830.3.peg.136','435830.3.peg.137','g.26676.CDS.432'
'435830.3.peg.868','g.26676.CDS.1517','435830.3.peg.1558'
'435830.3.peg.868','435830.3.peg.1058','g.26676.CDS.1222'
'435830.3.peg.1615','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1615','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1615','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1615','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1616','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1616','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1616','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1616','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1617','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1617','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1617','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1617','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1618','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1618','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1618','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1618','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1619','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1619','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1619','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1619','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1620','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1620','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1620','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1620','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1621','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1621','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1621','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1621','435830.3.peg.1345','g.26676.CDS.1638'
'435830.3.peg.1622','435830.3.peg.383','g.26676.CDS.1638'
'435830.3.peg.1622','435830.3.peg.1725','g.26676.CDS.1638'
'435830.3.peg.1622','435830.3.peg.384','g.26676.CDS.1638'
'435830.3.peg.1622','435830.3.peg.1345','g.26676.CDS.1638'
'g.26676.CDS.1131','g.26676.CDS.1596','g.26676.CDS.351'
'g.26676.CDS.1014','g.26676.CDS.1016','g.26676.CDS.317'
'g.26676.CDS.1014','g.26676.CDS.1101','g.26676.CDS.448'
'435830.3.peg.626','g.26676.CDS.1517','435830.3.peg.1558'
'435830.3.peg.461','g.26676.CDS.1517','435830.3.peg.1558'
'g.26676.CDS.1724','g.26676.CDS.1515','g.26676.CDS.460'
'g.26676.CDS.1724','g.26676.CDS.144','g.26676.CDS.899'
'g.26676.CDS.1277','g.26676.CDS.533','435830.3.peg.1627'
'g.26676.CDS.789','g.26676.CDS.1517','435830.3.peg.1558'
'g.26676.CDS.998','435830.3.peg.23','g.26676.CDS.167'
'g.26676.CDS.879','g.26676.CDS.1517','435830.3.peg.1558'
'g.26676.CDS.1239','g.26676.CDS.1517','435830.3.peg.1558'
'g.26676.CDS.1517','g.26676.CDS.432','435830.3.peg.1558'
'g.26676.CDS.1517','435830.3.peg.743','435830.3.peg.1558'
'g.26676.CDS.1517','435830.3.peg.641','435830.3.peg.972'
'g.26676.CDS.1517','g.26676.CDS.3','435830.3.peg.1558'
'g.26676.CDS.1517','435830.3.peg.459','435830.3.peg.1558'
'g.26676.CDS.533','g.26676.CDS.675','435830.3.peg.1627'
'435830.3.peg.1706','435830.3.peg.825','g.26676.CDS.155'
'g.26676.CDS.1256','g.26676.CDS.1735','g.26676.CDS.42'
'g.26676.CDS.1181','g.26676.CDS.1016','g.26676.CDS.317'
'g.26676.CDS.1181','g.26676.CDS.1101','g.26676.CDS.448'
'g.26676.CDS.572','g.26676.CDS.611','g.26676.CDS.969'
'g.26676.CDS.432','435830.3.peg.133','435830.3.peg.134'
