'g.1979.peg.2008','g.1979.peg.2123'
'g.1979.peg.1306','525246.3.peg.748'
'g.1979.peg.1674','g.1979.peg.528'
'g.1979.peg.1264','g.1979.peg.572'
'525246.3.peg.735','g.1979.peg.1791'
'525246.3.peg.735','g.1979.peg.2195'
'525246.3.peg.735','525246.3.peg.981'
'525246.3.peg.735','g.1979.peg.1026'
'525246.3.peg.756','g.1979.peg.664'
'g.1979.peg.879','g.1979.peg.1146'
'g.1979.peg.2182','g.1979.peg.889'
'g.1979.peg.2057','g.1979.peg.2198'
'g.1979.peg.2076','g.1979.peg.1016'
'g.1979.peg.1727','525246.3.peg.607'
'g.1979.peg.1727','525246.3.peg.606'
'525246.3.peg.1434','525246.3.peg.1587'
'525246.3.peg.1434','g.1979.peg.1127'
'525246.3.peg.607','g.1979.peg.1586'
'g.1979.peg.1586','525246.3.peg.606'
'g.1979.peg.1112','525246.3.peg.929'
'g.1979.peg.501','525246.3.peg.929'
'g.1979.peg.1600','g.1979.peg.1367'
'g.1979.peg.1010','525246.3.peg.587'
'525246.3.peg.1587','g.1979.peg.1127'
'525246.3.peg.1587','525246.3.peg.1585'
'g.1979.peg.1127','525246.3.peg.1585'
'g.1979.peg.1382','g.1979.peg.832'
'g.1979.peg.1283','g.1979.peg.1863'
'g.1979.peg.1243','g.1979.peg.1703'
'525246.3.peg.1930','525246.3.peg.232'
'525246.3.peg.247','525246.3.peg.749'
'525246.3.peg.1315','525246.3.peg.1316'
'525246.3.peg.1678','525246.3.peg.2099'
'g.1979.peg.1106','g.1979.peg.335'
'g.1979.peg.1934','g.1979.peg.335'
'g.1979.peg.1944','g.1979.peg.335'
'525246.3.peg.1892','525246.3.peg.1893'
'525246.3.peg.2155','525246.3.peg.2156'
'g.1979.peg.234','g.1979.peg.972'
'g.1979.peg.339','g.1979.peg.957'
'g.1979.peg.192','g.1979.peg.849'
'g.1979.peg.291','g.1979.peg.914'
