'g.2332.peg.208','g.2332.peg.95'
'g.2332.peg.842','g.2332.peg.951'
'g.2332.peg.296','562973.4.peg.2383'
'g.2332.peg.1903','g.2332.peg.737'
'562973.4.peg.2361','g.2332.peg.837'
'562973.4.peg.2361','562973.4.peg.171'
'g.2332.peg.1776','562973.4.peg.2383'
'562973.4.peg.318','g.2332.peg.1673'
'562973.4.peg.318','g.2332.peg.695'
'562973.4.peg.2394','g.2332.peg.423'
'g.2332.peg.1777','562973.4.peg.1676'
'g.2332.peg.1777','562973.4.peg.1677'
'g.2332.peg.1777','562973.4.peg.1680'
'g.2332.peg.1777','562973.4.peg.828'
'562973.4.peg.1945','562973.4.peg.1946'
'562973.4.peg.1676','g.2332.peg.928'
'g.2332.peg.1454','g.2332.peg.2284'
'g.2332.peg.1842','g.2332.peg.1717'
'g.2332.peg.1842','g.2332.peg.1852'
'g.2332.peg.1842','g.2332.peg.1994'
'g.2332.peg.1396','g.2332.peg.1511'
'562973.4.peg.698','562973.4.peg.2151'
'562973.4.peg.698','g.2332.peg.1908'
'562973.4.peg.1677','g.2332.peg.928'
'g.2332.peg.1115','g.2332.peg.2053'
'g.2332.peg.1186','g.2332.peg.1692'
'g.2332.peg.1957','g.2332.peg.1905'
'g.2332.peg.1957','562973.4.peg.802'
'g.2332.peg.1957','562973.4.peg.2198'
'g.2332.peg.1957','g.2332.peg.1452'
'g.2332.peg.1957','g.2332.peg.1584'
'g.2332.peg.764','562973.4.peg.1421'
'g.2332.peg.1905','g.2332.peg.1673'
'g.2332.peg.1905','g.2332.peg.695'
'562973.4.peg.2452','g.2332.peg.1673'
'g.2332.peg.1673','g.2332.peg.746'
'g.2332.peg.1673','562973.4.peg.802'
'g.2332.peg.1673','562973.4.peg.2198'
'g.2332.peg.1673','562973.4.peg.801'
'g.2332.peg.746','g.2332.peg.695'
'562973.4.peg.1169','562973.4.peg.1872'
'g.2332.peg.695','562973.4.peg.802'
'g.2332.peg.695','562973.4.peg.2198'
'g.2332.peg.695','562973.4.peg.801'
'562973.4.peg.1794','562973.4.peg.1948'
'562973.4.peg.1948','562973.4.peg.1949'
'562973.4.peg.2151','g.2332.peg.1908'
'562973.4.peg.2151','562973.4.peg.2158'
'g.2332.peg.1908','562973.4.peg.2158'
'562973.4.peg.1680','g.2332.peg.928'
'562973.4.peg.828','g.2332.peg.928'
'g.2332.peg.2300','g.2332.peg.998'
'g.2332.peg.1913','g.2332.peg.270'
'g.2332.peg.2129','g.2332.peg.264'
'g.2332.peg.2134','g.2332.peg.264'
'g.2332.peg.2179','g.2332.peg.264'
'g.2332.peg.2245','g.2332.peg.264'
'562973.4.peg.1628','g.2332.peg.1895'
'g.2332.peg.543','g.2332.peg.1076'
'562973.4.peg.1152','562973.4.peg.2390'
'562973.4.peg.1858','562973.4.peg.2010'
'g.2332.peg.249','g.2332.peg.194'
'g.2332.peg.519','g.2332.peg.194'
'g.2332.peg.616','g.2332.peg.194'
'g.2332.peg.1063','g.2332.peg.1803'
'g.2332.peg.210','g.2332.peg.2316'
'g.2332.peg.304','g.2332.peg.874'
'g.2332.peg.2267','g.2332.peg.2424'
'g.2332.peg.190','g.2332.peg.903'
'g.2332.peg.2202','g.2332.peg.269'
'g.2332.peg.1224','g.2332.peg.1515'
'g.2332.peg.1323','g.2332.peg.1679'
'g.2332.peg.1361','g.2332.peg.1601'
'g.2332.peg.1473','g.2332.peg.1651'
'g.2332.peg.1714','g.2332.peg.2183'
