'g.2746.peg.1576','g.2746.peg.438','g.2746.peg.34'
'g.2746.peg.1036','g.2746.peg.1722','g.2746.peg.614'
'g.2746.peg.336','644284.3.peg.778','g.2746.peg.1252'
'g.2746.peg.336','644284.3.peg.354','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.354','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.354','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.354','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.355','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.355','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.355','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.355','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.356','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.356','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.356','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.356','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.357','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.357','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.357','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.357','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.358','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.358','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.358','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.358','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.359','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.359','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.359','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.359','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.360','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.360','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.360','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.360','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.361','644284.3.peg.865'
'g.2746.peg.336','644284.3.peg.361','644284.3.peg.1476'
'g.2746.peg.336','644284.3.peg.361','644284.3.peg.864'
'g.2746.peg.336','644284.3.peg.361','644284.3.peg.1621'
'g.2746.peg.336','644284.3.peg.1414','g.2746.peg.221'
'644284.3.peg.778','g.2746.peg.1252','g.2746.peg.235'
'644284.3.peg.1330','g.2746.peg.1255','644284.3.peg.543'
'644284.3.peg.1330','g.2746.peg.956','644284.3.peg.543'
'g.2746.peg.512','g.2746.peg.228','g.2746.peg.191'
'g.2746.peg.512','g.2746.peg.513','g.2746.peg.191'
'g.2746.peg.512','g.2746.peg.84','g.2746.peg.191'
'g.2746.peg.512','g.2746.peg.354','g.2746.peg.711'
'644284.3.peg.354','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.354','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.354','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.354','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.355','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.355','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.355','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.355','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.356','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.356','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.356','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.356','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.357','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.357','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.357','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.357','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.358','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.358','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.358','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.358','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.359','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.359','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.359','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.359','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.360','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.360','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.360','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.360','644284.3.peg.1621','g.2746.peg.235'
'644284.3.peg.361','644284.3.peg.865','g.2746.peg.235'
'644284.3.peg.361','644284.3.peg.1476','g.2746.peg.235'
'644284.3.peg.361','644284.3.peg.864','g.2746.peg.235'
'644284.3.peg.361','644284.3.peg.1621','g.2746.peg.235'
'g.2746.peg.200','g.2746.peg.1000','g.2746.peg.1584'
'g.2746.peg.1255','g.2746.peg.228','g.2746.peg.191'
'g.2746.peg.1255','g.2746.peg.513','g.2746.peg.191'
'g.2746.peg.1255','g.2746.peg.84','g.2746.peg.191'
'g.2746.peg.1255','g.2746.peg.354','g.2746.peg.711'
'g.2746.peg.1283','g.2746.peg.228','g.2746.peg.191'
'g.2746.peg.1283','g.2746.peg.513','g.2746.peg.191'
'g.2746.peg.1283','g.2746.peg.84','g.2746.peg.191'
'g.2746.peg.1283','g.2746.peg.354','g.2746.peg.711'
'g.2746.peg.1100','g.2746.peg.1000','g.2746.peg.1584'
'644284.3.peg.192','g.2746.peg.438','g.2746.peg.34'
'644284.3.peg.192','g.2746.peg.270','g.2746.peg.683'
'g.2746.peg.409','g.2746.peg.438','g.2746.peg.34'
'g.2746.peg.401','g.2746.peg.438','g.2746.peg.34'
'g.2746.peg.1000','g.2746.peg.1584','644284.3.peg.1247'
'g.2746.peg.916','g.2746.peg.399','g.2746.peg.34'
'644284.3.peg.1414','g.2746.peg.235','g.2746.peg.221'
'644284.3.peg.736','g.2746.peg.270','g.2746.peg.683'
'g.2746.peg.270','g.2746.peg.683','644284.3.peg.863'
'644284.3.peg.1438','644284.3.peg.464','644284.3.peg.43'
