'ACALD','PFL','PTAr'
'ACGApts','EX_gam(e)','GF6PTA'
'ACGApts','GAMpts','GF6PTA'
'ACKr','ACt2r','PPIACPT'
'ACKr','EX_ac(e)','PPIACPT'
'ADEt2r','ADSL1r','DADNt2r'
'ADEt2r','ADSL1r','EX_dad_2(e)'
'ADEt2r','ADSL1r','PUNP2'
'ADEt2r','ADSS','DADNt2r'
'ADEt2r','ADSS','EX_dad_2(e)'
'ADEt2r','ADSS','PUNP2'
'ADK5','NDPK3','NTD4'
'ADK8','NDPK7','RNTR3'
'ADK9','NDPK5','RNTR2'
'ADNK1','ADPT','ADSL1r'
'ADNK1','ADPT','ADSS'
'ADPT','ADSL1r','PUNP1'
'ADPT','ADSS','PUNP1'
'ADSL1r','DADNt2r','EX_ade(e)'
'ADSL1r','EX_ade(e)','EX_dad_2(e)'
'ADSL1r','EX_ade(e)','PUNP2'
'ADSL2r','CO2t','PPCr'
'ADSL2r','EX_co2(e)','PPCr'
'ADSS','DADNt2r','EX_ade(e)'
'ADSS','EX_ade(e)','EX_dad_2(e)'
'ADSS','EX_ade(e)','PUNP2'
'AICART','CO2t','PPCr'
'AICART','EX_co2(e)','PPCr'
'AIRC4','CO2t','PPCr'
'AIRC4','EX_co2(e)','PPCr'
'ALALEU1c','EX_glyleu(e)','EX_leu_L(e)'
'ALALEU1c','EX_glyleu(e)','LEUabc'
'ALALEU1c','EX_leu_L(e)','GLYLEUHYDROc'
'ALALEU1c','EX_leu_L(e)','GLYLEUPEPT1tc'
'ALALEU1c','GLYLEUHYDROc','LEUabc'
'ALALEU1c','GLYLEUPEPT1tc','LEUabc'
'ALALEUabc','EX_glyleu(e)','EX_leu_L(e)'
'ALALEUabc','EX_glyleu(e)','LEUabc'
'ALALEUabc','EX_leu_L(e)','GLYLEUHYDROc'
'ALALEUabc','EX_leu_L(e)','GLYLEUPEPT1tc'
'ALALEUabc','GLYLEUHYDROc','LEUabc'
'ALALEUabc','GLYLEUPEPT1tc','LEUabc'
'ALATHR1c','ASAD','EX_thr_L(e)'
'ALATHR1c','ASAD','THRt2r'
'ALATHR1c','ASPKi','EX_thr_L(e)'
'ALATHR1c','ASPKi','THRt2r'
'ALATHR1c','EX_thr_L(e)','HSK'
'ALATHR1c','EX_thr_L(e)','THRS'
'ALATHR1c','HSK','THRt2r'
'ALATHR1c','THRS','THRt2r'
'ALATHRabc','ASAD','EX_thr_L(e)'
'ALATHRabc','ASAD','THRt2r'
'ALATHRabc','ASPKi','EX_thr_L(e)'
'ALATHRabc','ASPKi','THRt2r'
'ALATHRabc','EX_thr_L(e)','HSK'
'ALATHRabc','EX_thr_L(e)','THRS'
'ALATHRabc','HSK','THRt2r'
'ALATHRabc','THRS','THRt2r'
'AMPTASECG','AMPTASEGC','CYSt2r'
'AMPTASECG','AMPTASEGC','EX_cys_L(e)'
'AMPTASECG','CYSt2r','EX_glycys(e)'
'AMPTASECG','CYSt2r','GLYCYSabc'
'AMPTASECG','EX_cys_L(e)','EX_glycys(e)'
'AMPTASECG','EX_cys_L(e)','GLYCYSabc'
'ARGDA','EX_orn(e)','EX_ptrc(e)'
'ARGDA','EX_orn(e)','PTRCabc'
'ARGDA','EX_ptrc(e)','r1667'
'ARGDA','PTRCabc','r1667'
'ASAD','EX_alathr(e)','EX_thr_L(e)'
'ASAD','EX_alathr(e)','THRt2r'
'ASNS2','ASNt2r','EX_glyasn(e)'
'ASNS2','ASNt2r','GLYASN1c'
'ASNS2','ASNt2r','GLYASNabc'
'ASNS2','EX_asn_L(e)','EX_glyasn(e)'
'ASNS2','EX_asn_L(e)','GLYASN1c'
'ASNS2','EX_asn_L(e)','GLYASNabc'
'ASPKi','EX_alathr(e)','EX_thr_L(e)'
'ASPKi','EX_alathr(e)','THRt2r'
'ASPTA','CO2t','EX_succ(e)'
'ASPTA','CO2t','SUCCt2r'
'ASPTA','EX_co2(e)','EX_succ(e)'
'ASPTA','EX_co2(e)','SUCCt2r'
'ASPTA','FUM','PPCr'
'ASPTA','GLUDy','GLUOX'
'ASPTA','MDH','PPCr'
'CO2t','FTHFL','PPCr'
'CO2t','GARFTi','PPCr'
'CO2t','GLUPRT','PPCr'
'CO2t','H2CO3D','PPCr'
'CO2t','IMPC','PPCr'
'CO2t','PPCr','PRAGS'
'CO2t','PPCr','PRAIS'
'CO2t','PPCr','PRASCSi'
'CO2t','PPCr','PRFGS'
'CTPS1','CTPS2','CYTDK3'
'CTPS1','CTPS2','CYTK1'
'CTPS1','CTPS2','NDPK9'
'CYTD','CYTDt2r','CYTK1'
'CYTD','CYTK1','EX_cytd(e)'
'DGSNt2r','PUNP4','RNTR2'
'EX_acgam(e)','EX_gam(e)','GF6PTA'
'EX_acgam(e)','GAMpts','GF6PTA'
'EX_alaleu(e)','EX_glyleu(e)','EX_leu_L(e)'
'EX_alaleu(e)','EX_glyleu(e)','LEUabc'
'EX_alaleu(e)','EX_leu_L(e)','GLYLEUHYDROc'
'EX_alaleu(e)','EX_leu_L(e)','GLYLEUPEPT1tc'
'EX_alaleu(e)','GLYLEUHYDROc','LEUabc'
'EX_alaleu(e)','GLYLEUPEPT1tc','LEUabc'
'EX_alathr(e)','EX_thr_L(e)','HSK'
'EX_alathr(e)','EX_thr_L(e)','THRS'
'EX_alathr(e)','HSK','THRt2r'
'EX_alathr(e)','THRS','THRt2r'
'EX_co2(e)','FTHFL','PPCr'
'EX_co2(e)','GARFTi','PPCr'
'EX_co2(e)','GLUPRT','PPCr'
