'12PPDt','GAPD','LCADi'
'12PPDt','LCADi','PGK'
'12PPDt','LCADi','TPI'
'23DHMPO','EX_ile_L(e)','KARA2'
'23DHMPO','ILEabc','KARA2'
'2AHBUTI','EX_ile_L(e)','KARA2'
'2AHBUTI','ILEabc','KARA2'
'3HACPR1','ASAD','THRD_L'
'3HACPR1','ASPKi','THRD_L'
'3HACPR2','ASAD','THRD_L'
'3HACPR2','ASPKi','THRD_L'
'3HAD100','EX_ppi(e)','PPA'
'3HAD100','PPA','PPIt2e'
'3HAD120','EX_ppi(e)','PPA'
'3HAD120','PPA','PPIt2e'
'3HAD140','EX_ppi(e)','PPA'
'3HAD140','PPA','PPIt2e'
'3HAD40','EX_ppi(e)','PPA'
'3HAD40','PPA','PPIt2e'
'3HAD60','EX_ppi(e)','PPA'
'3HAD60','PPA','PPIt2e'
'3HAD80','EX_ppi(e)','PPA'
'3HAD80','PPA','PPIt2e'
'3OAACPR1','ASAD','THRD_L'
'3OAACPR1','ASPKi','THRD_L'
'3OAACPR2','ASAD','THRD_L'
'3OAACPR2','ASPKi','THRD_L'
'3OAR100','EX_ppi(e)','PPA'
'3OAR100','PPA','PPIt2e'
'3OAR120','EX_ppi(e)','PPA'
'3OAR120','PPA','PPIt2e'
'3OAR140','EX_ppi(e)','PPA'
'3OAR140','PPA','PPIt2e'
'3OAR40','EX_ppi(e)','PPA'
'3OAR40','PPA','PPIt2e'
'3OAR60','EX_ppi(e)','PPA'
'3OAR60','PPA','PPIt2e'
'3OAR80','EX_ppi(e)','PPA'
'3OAR80','PPA','PPIt2e'
'3OAS100','EX_ppi(e)','PPA'
'3OAS100','PPA','PPIt2e'
'3OAS120','EX_ppi(e)','PPA'
'3OAS120','PPA','PPIt2e'
'3OAS140','EX_ppi(e)','PPA'
'3OAS140','PPA','PPIt2e'
'3OAS60','EX_ppi(e)','PPA'
'3OAS60','PPA','PPIt2e'
'3OAS80','EX_ppi(e)','PPA'
'3OAS80','PPA','PPIt2e'
'ACLS_a','EX_ile_L(e)','LPAMS'
'ACLS_a','EX_ile_L(e)','PDHa'
'ACLS_a','EX_val_L(e)','LPAMS'
'ACLS_a','EX_val_L(e)','PDHa'
'ACLS_a','ILEabc','LPAMS'
'ACLS_a','ILEabc','PDHa'
'ACLS_a','LPAMS','VALTA'
'ACLS_a','LPAMS','VALabc'
'ACLS_a','PDHa','VALTA'
'ACLS_a','PDHa','VALabc'
'ACOATA','EX_ppi(e)','PPA'
'ACOATA','PPA','PPIt2e'
'ACt2r','OOR2r','PDHa'
'ACt2r','OOR2r','PDHbr'
'ACt2r','OOR2r','PDHc'
'ACt2r','PDHa','POR4'
'ACt2r','PDHa','SUCOAS'
'ACt2r','PDHbr','POR4'
'ACt2r','PDHbr','SUCOAS'
'ACt2r','PDHc','POR4'
'ACt2r','PDHc','SUCOAS'
'ADK11','NDPK6','RNDR4'
'ADK7','GK1','NDPK8'
'ADK7','GK2','NDPK8'
'ADPT','ASAD','THRD_L'
'ADPT','ASPKi','THRD_L'
'AHCYSNS','ASAD','THRD_L'
'AHCYSNS','ASPKi','THRD_L'
'ALACI','EX_val_L(e)','KARA1'
'ALACI','KARA1','VALTA'
'ALACI','KARA1','VALabc'
'ALAHIS1c','ATPPRT','EX_his_L(e)'
'ALAHIS1c','ATPPRT','HISt2r'
'ALAHIS1c','EX_his_L(e)','HISTP'
'ALAHIS1c','EX_his_L(e)','HSTPTr'
'ALAHIS1c','EX_his_L(e)','IG3PS'
'ALAHIS1c','EX_his_L(e)','IGPDH'
'ALAHIS1c','EX_his_L(e)','PRAMPC'
'ALAHIS1c','EX_his_L(e)','PRATPP'
'ALAHIS1c','EX_his_L(e)','PRMICI'
'ALAHIS1c','HISTP','HISt2r'
'ALAHIS1c','HISt2r','HSTPTr'
'ALAHIS1c','HISt2r','IG3PS'
'ALAHIS1c','HISt2r','IGPDH'
'ALAHIS1c','HISt2r','PRAMPC'
'ALAHIS1c','HISt2r','PRATPP'
'ALAHIS1c','HISt2r','PRMICI'
'ALAHISabc','ATPPRT','EX_his_L(e)'
'ALAHISabc','ATPPRT','HISt2r'
'ALAHISabc','EX_his_L(e)','HISTP'
'ALAHISabc','EX_his_L(e)','HSTPTr'
'ALAHISabc','EX_his_L(e)','IG3PS'
'ALAHISabc','EX_his_L(e)','IGPDH'
'ALAHISabc','EX_his_L(e)','PRAMPC'
'ALAHISabc','EX_his_L(e)','PRATPP'
'ALAHISabc','EX_his_L(e)','PRMICI'
'ALAHISabc','HISTP','HISt2r'
'ALAHISabc','HISt2r','HSTPTr'
'ALAHISabc','HISt2r','IG3PS'
'ALAHISabc','HISt2r','IGPDH'
'ALAHISabc','HISt2r','PRAMPC'
'ALAHISabc','HISt2r','PRATPP'
'ALAHISabc','HISt2r','PRMICI'
'ALATHR1c','EX_thr_L(e)','HSK'
'ALATHR1c','EX_thr_L(e)','THRS'
'ALATHR1c','HSK','THRt2r'
'ALATHR1c','THRS','THRt2r'
