'g.1959.peg.1509','g.1959.peg.248','g.1959.peg.692'
'g.1959.peg.60','521097.5.peg.1811','g.1959.peg.1872'
'521097.5.peg.482','g.1959.peg.388','g.1959.peg.950'
'521097.5.peg.482','g.1959.peg.621','g.1959.peg.812'
'g.1959.peg.1088','521097.5.peg.1840','521097.5.peg.507'
'g.1959.peg.1088','521097.5.peg.937','g.1959.peg.1153'
'g.1959.peg.1088','g.1959.peg.238','g.1959.peg.412'
'g.1959.peg.16','521097.5.peg.1214','521097.5.peg.1595'
'g.1959.peg.16','521097.5.peg.1531','521097.5.peg.1595'
'g.1959.peg.16','521097.5.peg.360','g.1959.peg.465'
'g.1959.peg.16','g.1959.peg.331','521097.5.peg.151'
'g.1959.peg.16','g.1959.peg.1129','g.1959.peg.241'
'g.1959.peg.16','521097.5.peg.2146','g.1959.peg.465'
'g.1959.peg.16','521097.5.peg.709','521097.5.peg.1595'
'g.1959.peg.16','521097.5.peg.1595','521097.5.peg.613'
'g.1959.peg.16','521097.5.peg.1595','g.1959.peg.344'
'g.1959.peg.16','521097.5.peg.1595','521097.5.peg.896'
'g.1959.peg.16','521097.5.peg.1595','521097.5.peg.1562'
'g.1959.peg.16','521097.5.peg.1595','521097.5.peg.1506'
'g.1959.peg.16','521097.5.peg.1595','521097.5.peg.1257'
'g.1959.peg.16','g.1959.peg.344','g.1959.peg.465'
'g.1959.peg.16','g.1959.peg.1955','521097.5.peg.777'
'g.1959.peg.16','g.1959.peg.318','521097.5.peg.777'
'g.1959.peg.16','521097.5.peg.1947','g.1959.peg.465'
'g.1959.peg.16','521097.5.peg.1632','g.1959.peg.465'
'g.1959.peg.16','g.1959.peg.238','g.1959.peg.412'
'g.1959.peg.663','g.1959.peg.475','521097.5.peg.1214'
'g.1959.peg.663','g.1959.peg.475','521097.5.peg.241'
'521097.5.peg.1214','521097.5.peg.1595','g.1959.peg.32'
'g.1959.peg.274','g.1959.peg.2078','g.1959.peg.660'
'521097.5.peg.1531','521097.5.peg.1595','g.1959.peg.32'
'521097.5.peg.360','g.1959.peg.1129','g.1959.peg.465'
'521097.5.peg.221','521097.5.peg.777','521097.5.peg.490'
'521097.5.peg.2130','521097.5.peg.777','521097.5.peg.490'
'g.1959.peg.1796','g.1959.peg.654','g.1959.peg.1036'
'g.1959.peg.331','521097.5.peg.151','g.1959.peg.241'
'g.1959.peg.1129','521097.5.peg.2146','g.1959.peg.465'
'g.1959.peg.1129','g.1959.peg.344','g.1959.peg.465'
'g.1959.peg.1129','521097.5.peg.1947','g.1959.peg.465'
'g.1959.peg.1129','521097.5.peg.1632','g.1959.peg.465'
'g.1959.peg.241','g.1959.peg.101','g.1959.peg.485'
'g.1959.peg.241','g.1959.peg.238','g.1959.peg.412'
'g.1959.peg.1414','521097.5.peg.777','521097.5.peg.490'
'g.1959.peg.132','521097.5.peg.777','521097.5.peg.490'
'g.1959.peg.1300','521097.5.peg.777','521097.5.peg.490'
'521097.5.peg.268','g.1959.peg.365','521097.5.peg.1930'
'521097.5.peg.268','521097.5.peg.777','521097.5.peg.94'
'g.1959.peg.1893','g.1959.peg.1757','g.1959.peg.405'
'521097.5.peg.709','521097.5.peg.1595','g.1959.peg.32'
'521097.5.peg.1595','521097.5.peg.613','g.1959.peg.32'
'521097.5.peg.1595','g.1959.peg.344','g.1959.peg.32'
'521097.5.peg.1595','521097.5.peg.896','g.1959.peg.32'
'521097.5.peg.1595','521097.5.peg.1562','g.1959.peg.32'
'521097.5.peg.1595','521097.5.peg.1506','g.1959.peg.32'
'521097.5.peg.1595','521097.5.peg.1257','g.1959.peg.32'
'521097.5.peg.1811','g.1959.peg.1872','g.1959.peg.385'
'g.1959.peg.89','g.1959.peg.1160','521097.5.peg.2149'
'g.1959.peg.365','521097.5.peg.1301','521097.5.peg.1930'
'g.1959.peg.365','521097.5.peg.2093','521097.5.peg.1930'
'521097.5.peg.407','g.1959.peg.1175','g.1959.peg.1451'
'521097.5.peg.407','g.1959.peg.238','g.1959.peg.412'
'521097.5.peg.1639','521097.5.peg.1725','521097.5.peg.1938'
'521097.5.peg.1301','521097.5.peg.777','521097.5.peg.94'
'521097.5.peg.2093','521097.5.peg.777','521097.5.peg.94'
'521097.5.peg.1457','521097.5.peg.777','521097.5.peg.490'
'521097.5.peg.777','g.1959.peg.1340','521097.5.peg.490'
'521097.5.peg.777','521097.5.peg.1511','521097.5.peg.490'
