'g.2243.peg.2267','g.2243.peg.2333','g.2243.peg.249'
'g.2243.peg.994','553177.6.peg.2488','g.2243.peg.1534'
'553177.6.peg.298','g.2243.peg.1069','g.2243.peg.768'
'553177.6.peg.298','g.2243.peg.1341','g.2243.peg.353'
'g.2243.peg.1437','g.2243.peg.1857','g.2243.peg.2509'
'g.2243.peg.1787','553177.6.peg.2087','553177.6.peg.811'
'g.2243.peg.1787','553177.6.peg.1749','g.2243.peg.1937'
'g.2243.peg.1787','g.2243.peg.2085','553177.6.peg.764'
'g.2243.peg.1787','g.2243.peg.2564','553177.6.peg.1257'
'g.2243.peg.1787','g.2243.peg.219','553177.6.peg.1257'
'g.2243.peg.1787','553177.6.peg.1946','g.2243.peg.1937'
'g.2243.peg.1787','553177.6.peg.1044','g.2243.peg.1937'
'g.2243.peg.1787','g.2243.peg.1857','g.2243.peg.2509'
'g.2243.peg.469','g.2243.peg.1610','553177.6.peg.1135'
'g.2243.peg.469','g.2243.peg.1610','553177.6.peg.249'
'553177.6.peg.1135','g.2243.peg.1529','g.2243.peg.2572'
'553177.6.peg.2245','g.2243.peg.1529','g.2243.peg.2572'
'553177.6.peg.1047','553177.6.peg.1257','553177.6.peg.2640'
'g.2243.peg.1606','g.2243.peg.1455','g.2243.peg.953'
'g.2243.peg.2085','553177.6.peg.764','g.2243.peg.675'
'g.2243.peg.675','g.2243.peg.1005','g.2243.peg.1161'
'g.2243.peg.675','g.2243.peg.1857','g.2243.peg.2509'
'g.2243.peg.1513','553177.6.peg.1257','553177.6.peg.2640'
'g.2243.peg.877','553177.6.peg.1257','553177.6.peg.2640'
'g.2243.peg.1048','553177.6.peg.1257','553177.6.peg.2640'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.2396'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.296'
'g.2243.peg.1529','g.2243.peg.2572','g.2243.peg.2435'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.1643'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.781'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.1868'
'g.2243.peg.1529','g.2243.peg.2572','553177.6.peg.1613'
'g.2243.peg.60','g.2243.peg.1446','g.2243.peg.2350'
'g.2243.peg.1572','g.2243.peg.490','553177.6.peg.2578'
'553177.6.peg.2488','g.2243.peg.1534','g.2243.peg.831'
'g.2243.peg.2131','553177.6.peg.2601','553177.6.peg.859'
'g.2243.peg.2131','553177.6.peg.1060','553177.6.peg.859'
'553177.6.peg.2632','g.2243.peg.1441','g.2243.peg.1767'
'553177.6.peg.2632','g.2243.peg.1857','g.2243.peg.2509'
'553177.6.peg.513','553177.6.peg.64','553177.6.peg.832'
'553177.6.peg.1433','553177.6.peg.1257','553177.6.peg.2640'
'553177.6.peg.1257','g.2243.peg.2590','553177.6.peg.2640'
'553177.6.peg.1257','553177.6.peg.2588','553177.6.peg.2640'
