'999410.3.peg.921','999410.3.peg.994'
'g.32465.CDS.248','999410.3.peg.5394'
'g.32465.CDS.3193','999410.3.peg.5394'
'g.32465.CDS.3200','999410.3.peg.5394'
'999410.3.peg.4932','g.32465.CDS.5668'
'g.32465.CDS.1109','g.32465.CDS.1350'
'999410.3.peg.4933','g.32465.CDS.5668'
'g.32465.CDS.3741','g.32465.CDS.73'
'999410.3.peg.2291','g.32465.CDS.2337'
'g.32465.CDS.420','g.32465.CDS.249'
'g.32465.CDS.420','999410.3.peg.3563'
'g.32465.CDS.655','g.32465.CDS.1455'
'999410.3.peg.4929','g.32465.CDS.5668'
'999410.3.peg.1119','999410.3.peg.1120'
'g.32465.CDS.3573','g.32465.CDS.5079'
'g.32465.CDS.1904','g.32465.CDS.3412'
'g.32465.CDS.4000','g.32465.CDS.3705'
'g.32465.CDS.4547','999410.3.peg.3563'
'g.32465.CDS.1197','g.32465.CDS.3726'
'g.32465.CDS.579','g.32465.CDS.59'
'999410.3.peg.106','999410.3.peg.107'
'999410.3.peg.994','999410.3.peg.681'
'999410.3.peg.994','999410.3.peg.5812'
'999410.3.peg.994','g.32465.CDS.557'
'g.32465.CDS.2762','g.32465.CDS.5044'
'g.32465.CDS.2267','999410.3.peg.3379'
'g.32465.CDS.2267','999410.3.peg.3381'
'g.32465.CDS.4226','999410.3.peg.4494'
'g.32465.CDS.5433','999410.3.peg.4494'
'g.32465.CDS.1054','999410.3.peg.3563'
'g.32465.CDS.3793','g.32465.CDS.862'
'g.32465.CDS.238','g.32465.CDS.3089'
'g.32465.CDS.507','g.32465.CDS.920'
'999410.3.peg.4368','999410.3.peg.756'
'g.32465.CDS.2838','g.32465.CDS.740'
'g.32465.CDS.1261','g.32465.CDS.2251'
'999410.3.peg.1114','999410.3.peg.1115'
'g.32465.CDS.1299','g.32465.CDS.4639'
'g.32465.CDS.1882','g.32465.CDS.4351'
'g.32465.CDS.1284','g.32465.CDS.3439'
'g.32465.CDS.1509','g.32465.CDS.3689'
'g.32465.CDS.1871','g.32465.CDS.3841'
'g.32465.CDS.2090','g.32465.CDS.5246'
'g.32465.CDS.5547','g.32465.CDS.5802'
'g.32465.CDS.1011','g.32465.CDS.4786'
'g.32465.CDS.1824','g.32465.CDS.1825'
'g.32465.CDS.2738','g.32465.CDS.5632'
