E2348C_RS04990,E2348C_RS01155,E2348C_RS22115
E2348C_RS23640,E2348C_RS03215,E2348C_RS03230
E2348C_RS23640,E2348C_RS03215,E2348C_RS03225
E2348C_RS23640,E2348C_RS03220,E2348C_RS03230
E2348C_RS23640,E2348C_RS03220,E2348C_RS03225
E2348C_RS23640,E2348C_RS00615,E2348C_RS03230
E2348C_RS23640,E2348C_RS00615,E2348C_RS03225
E2348C_RS02145,E2348C_RS25235,E2348C_RS19455
E2348C_RS03215,scpC,E2348C_RS03230
E2348C_RS03215,scpC,E2348C_RS03225
E2348C_RS03220,scpC,E2348C_RS03230
E2348C_RS03220,scpC,E2348C_RS03225
E2348C_RS00615,E2348C_RS15145,E2348C_RS02420
E2348C_RS00615,scpC,E2348C_RS03230
E2348C_RS00615,scpC,E2348C_RS03225
E2348C_RS00615,E2348C_RS02420,E2348C_RS16970
E2348C_RS00615,E2348C_RS02420,E2348C_RS25260
E2348C_RS04610,E2348C_RS15145,E2348C_RS20740
E2348C_RS04610,E2348C_RS15145,E2348C_RS20735
E2348C_RS15145,E2348C_RS16925,E2348C_RS02420
E2348C_RS15145,E2348C_RS16930,E2348C_RS02420
E2348C_RS15145,E2348C_RS16935,E2348C_RS02420
E2348C_RS13020,E2348C_RS13780,E2348C_RS20525
E2348C_RS23780,E2348C_RS19485,E2348C_RS16975
E2348C_RS21675,E2348C_RS10180,E2348C_RS10560
E2348C_RS21675,E2348C_RS10180,E2348C_RS10565
E2348C_RS21675,E2348C_RS10180,E2348C_RS22690
E2348C_RS21675,E2348C_RS10560,E2348C_RS17020
E2348C_RS21675,E2348C_RS10565,E2348C_RS17020
E2348C_RS21675,E2348C_RS17020,E2348C_RS22690
E2348C_RS21680,E2348C_RS10180,E2348C_RS10560
E2348C_RS21680,E2348C_RS10180,E2348C_RS10565
E2348C_RS21680,E2348C_RS10180,E2348C_RS22690
E2348C_RS21680,E2348C_RS10560,E2348C_RS17020
E2348C_RS21680,E2348C_RS10565,E2348C_RS17020
E2348C_RS21680,E2348C_RS17020,E2348C_RS22690
E2348C_RS21665,E2348C_RS10180,E2348C_RS10560
E2348C_RS21665,E2348C_RS10180,E2348C_RS10565
E2348C_RS21665,E2348C_RS10180,E2348C_RS22690
E2348C_RS21665,E2348C_RS10560,E2348C_RS17020
E2348C_RS21665,E2348C_RS10565,E2348C_RS17020
E2348C_RS21665,E2348C_RS17020,E2348C_RS22690
E2348C_RS21690,E2348C_RS10180,E2348C_RS10560
E2348C_RS21690,E2348C_RS10180,E2348C_RS10565
E2348C_RS21690,E2348C_RS10180,E2348C_RS22690
E2348C_RS21690,E2348C_RS10560,E2348C_RS17020
E2348C_RS21690,E2348C_RS10565,E2348C_RS17020
E2348C_RS21690,E2348C_RS17020,E2348C_RS22690
E2348C_RS21660,E2348C_RS10180,E2348C_RS10560
E2348C_RS21660,E2348C_RS10180,E2348C_RS10565
E2348C_RS21660,E2348C_RS10180,E2348C_RS22690
E2348C_RS21660,E2348C_RS10560,E2348C_RS17020
E2348C_RS21660,E2348C_RS10565,E2348C_RS17020
E2348C_RS21660,E2348C_RS17020,E2348C_RS22690
E2348C_RS21685,E2348C_RS10180,E2348C_RS10560
E2348C_RS21685,E2348C_RS10180,E2348C_RS10565
E2348C_RS21685,E2348C_RS10180,E2348C_RS22690
E2348C_RS21685,E2348C_RS10560,E2348C_RS17020
E2348C_RS21685,E2348C_RS10565,E2348C_RS17020
E2348C_RS21685,E2348C_RS17020,E2348C_RS22690
E2348C_RS21695,E2348C_RS10180,E2348C_RS10560
E2348C_RS21695,E2348C_RS10180,E2348C_RS10565
E2348C_RS21695,E2348C_RS10180,E2348C_RS22690
E2348C_RS21695,E2348C_RS10560,E2348C_RS17020
E2348C_RS21695,E2348C_RS10565,E2348C_RS17020
E2348C_RS21695,E2348C_RS17020,E2348C_RS22690
E2348C_RS21670,E2348C_RS10180,E2348C_RS10560
E2348C_RS21670,E2348C_RS10180,E2348C_RS10565
E2348C_RS21670,E2348C_RS10180,E2348C_RS22690
E2348C_RS21670,E2348C_RS10560,E2348C_RS17020
E2348C_RS21670,E2348C_RS10565,E2348C_RS17020
E2348C_RS21670,E2348C_RS17020,E2348C_RS22690
E2348C_RS22090,E2348C_RS24590,E2348C_RS19960
E2348C_RS22090,E2348C_RS24590,E2348C_RS19950
E2348C_RS22090,E2348C_RS24590,E2348C_RS19970
E2348C_RS22090,E2348C_RS24590,E2348C_RS19965
E2348C_RS22090,E2348C_RS24590,E2348C_RS19955
E2348C_RS01560,E2348C_RS04800,E2348C_RS16170
E2348C_RS09570,E2348C_RS15435,E2348C_RS03390
E2348C_RS21890,E2348C_RS15320,E2348C_RS20050
E2348C_RS09080,E2348C_RS09075,E2348C_RS22925
E2348C_RS10180,E2348C_RS23250,E2348C_RS09555
E2348C_RS10180,E2348C_RS09555,E2348C_RS03200
E2348C_RS10180,E2348C_RS09555,E2348C_RS03205
E2348C_RS10180,E2348C_RS09555,E2348C_RS03195
E2348C_RS10180,E2348C_RS09555,E2348C_RS03190
E2348C_RS16340,E2348C_RS23250,E2348C_RS09555
E2348C_RS16340,E2348C_RS19575,E2348C_RS09555
E2348C_RS16340,E2348C_RS09555,E2348C_RS03200
E2348C_RS16340,E2348C_RS09555,E2348C_RS03205
E2348C_RS16340,E2348C_RS09555,E2348C_RS03195
E2348C_RS16340,E2348C_RS09555,E2348C_RS03190
E2348C_RS10570,E2348C_RS19755,E2348C_RS19485
E2348C_RS16925,E2348C_RS02420,E2348C_RS16970
E2348C_RS16925,E2348C_RS02420,E2348C_RS25260
E2348C_RS16930,E2348C_RS02420,E2348C_RS16970
E2348C_RS16930,E2348C_RS02420,E2348C_RS25260
E2348C_RS16935,E2348C_RS02420,E2348C_RS16970
E2348C_RS16935,E2348C_RS02420,E2348C_RS25260
E2348C_RS19755,E2348C_RS03460,E2348C_RS19485
E2348C_RS20050,E2348C_RS12760,E2348C_RS24565
E2348C_RS20050,E2348C_RS12755,E2348C_RS24565
E2348C_RS23250,E2348C_RS17020,E2348C_RS09555
E2348C_RS17475,E2348C_RS23245,E2348C_RS22925
E2348C_RS00785,E2348C_RS19535,E2348C_RS15015
E2348C_RS03450,E2348C_RS22680,E2348C_RS14010
E2348C_RS22680,E2348C_RS14010,E2348C_RS03445
E2348C_RS22680,E2348C_RS14010,E2348C_RS03440
E2348C_RS02420,E2348C_RS04760,E2348C_RS22900
E2348C_RS02420,E2348C_RS04760,E2348C_RS22905
E2348C_RS02420,E2348C_RS18270,E2348C_RS22900
E2348C_RS02420,E2348C_RS18270,E2348C_RS22905
E2348C_RS07820,E2348C_RS04240,E2348C_RS17985
E2348C_RS17020,E2348C_RS09555,E2348C_RS03200
E2348C_RS17020,E2348C_RS09555,E2348C_RS03205
E2348C_RS17020,E2348C_RS09555,E2348C_RS03195
E2348C_RS17020,E2348C_RS09555,E2348C_RS03190
E2348C_RS17570,E2348C_RS20015,E2348C_RS21635
E2348C_RS17570,E2348C_RS20015,E2348C_RS21630
E2348C_RS17570,E2348C_RS20015,E2348C_RS21645
E2348C_RS17570,E2348C_RS20015,E2348C_RS21640
