UTI89_C3240,UTI89_C1019
UTI89_C1019,UTI89_C4431
UTI89_C1019,UTI89_C0480
UTI89_C3633,UTI89_C3070
UTI89_C0085,UTI89_C4227
UTI89_C0085,UTI89_C4226
UTI89_C0086,UTI89_C4227
UTI89_C0086,UTI89_C4226
UTI89_C2052,UTI89_C2816
UTI89_C0131,UTI89_C1547
UTI89_C1215,UTI89_C4611
UTI89_C0502,UTI89_C2840
UTI89_C0502,UTI89_C1401
UTI89_C0502,UTI89_C4689
UTI89_C0398,UTI89_C0101
UTI89_C1376,UTI89_C4626
UTI89_C2870,UTI89_C3299
UTI89_C2870,UTI89_C5159
UTI89_C3495,UTI89_C4611
UTI89_C0668,UTI89_C4299
UTI89_C4525,UTI89_C0002
UTI89_C1779,UTI89_C0171
UTI89_C2769,UTI89_C4456
UTI89_C3428,UTI89_C1810
UTI89_C2747,UTI89_C2754
UTI89_C0981,UTI89_C0186
UTI89_C3391,glcF
UTI89_C3391,UTI89_C3394
UTI89_C3391,glcE
UTI89_C1794,UTI89_C0054
UTI89_C0108,UTI89_C2069
UTI89_C3310,UTI89_C1975
UTI89_C1957,UTI89_C3649
UTI89_C1957,UTI89_C3650
UTI89_C2302,UTI89_C3884
UTI89_C4019,UTI89_C0903
UTI89_C0278,UTI89_C2826
UTI89_C3252,UTI89_C2826
UTI89_C3251,UTI89_C2826
UTI89_C3253,UTI89_C2826
UTI89_C2851,UTI89_C1874
UTI89_C2851,UTI89_C1875
UTI89_C2851,UTI89_C1871
UTI89_C2851,UTI89_C1873
UTI89_C2851,UTI89_C1872
UTI89_C2851,UTI89_C1876
UTI89_C2850,UTI89_C1874
UTI89_C2850,UTI89_C1875
UTI89_C2850,UTI89_C1871
UTI89_C2850,UTI89_C1873
UTI89_C2850,UTI89_C1872
UTI89_C2850,UTI89_C1876
UTI89_C4393,UTI89_C4577
UTI89_C2757,UTI89_C0761
UTI89_C2757,UTI89_C0762
UTI89_C2757,UTI89_C0763
UTI89_C2756,UTI89_C0761
UTI89_C2756,UTI89_C0762
UTI89_C2756,UTI89_C0763
UTI89_C0761,UTI89_C2755
UTI89_C0762,UTI89_C2755
UTI89_C0763,UTI89_C2755
UTI89_C3409,UTI89_C4277
UTI89_C3409,UTI89_C4279
UTI89_C3409,UTI89_C4280
UTI89_C3409,UTI89_C4278
UTI89_C1401,UTI89_C4689
UTI89_C1884,UTI89_C3726
UTI89_C3888,UTI89_C0407
UTI89_C3552,UTI89_C4328
