UTI89_C1019,UTI89_C0261,UTI89_C4384
UTI89_C4659,UTI89_C0721,UTI89_C0724
UTI89_C4659,UTI89_C0721,UTI89_C0723
UTI89_C4659,UTI89_C0722,UTI89_C0724
UTI89_C4659,UTI89_C0722,UTI89_C0723
UTI89_C4659,UTI89_C0129,UTI89_C0724
UTI89_C4659,UTI89_C0129,UTI89_C0723
UTI89_C0502,UTI89_C3878,UTI89_C5154
UTI89_C0721,UTI89_C3303,UTI89_C0724
UTI89_C0721,UTI89_C3303,UTI89_C0723
UTI89_C0722,UTI89_C3303,UTI89_C0724
UTI89_C0722,UTI89_C3303,UTI89_C0723
UTI89_C0129,UTI89_C2870,UTI89_C0559
UTI89_C0129,UTI89_C3303,UTI89_C0724
UTI89_C0129,UTI89_C3303,UTI89_C0723
UTI89_C0129,UTI89_C0559,UTI89_C3299
UTI89_C0129,UTI89_C0559,UTI89_C5159
UTI89_C0873,UTI89_C2870,UTI89_C4163
UTI89_C0873,UTI89_C2870,UTI89_C4162
UTI89_C2870,UTI89_C3290,UTI89_C0559
UTI89_C2870,UTI89_C3289,UTI89_C0559
UTI89_C2870,UTI89_C3288,UTI89_C0559
UTI89_C2870,UTI89_C4574,UTI89_C4547
UTI89_C2870,UTI89_C4547,UTI89_C0718
UTI89_C2870,UTI89_C4547,UTI89_C0719
UTI89_C2870,UTI89_C4547,UTI89_C0717
UTI89_C2870,UTI89_C4547,UTI89_C0720
UTI89_C2711,UTI89_C2572,UTI89_C4114
UTI89_C4685,UTI89_C3884,UTI89_C3300
UTI89_C0544,UTI89_C4574,UTI89_C4547
UTI89_C0544,UTI89_C4547,UTI89_C0718
UTI89_C0544,UTI89_C4547,UTI89_C0719
UTI89_C0544,UTI89_C4547,UTI89_C0717
UTI89_C0544,UTI89_C4547,UTI89_C0720
UTI89_C0540,UTI89_C4574,UTI89_C4547
UTI89_C0540,UTI89_C4547,UTI89_C0718
UTI89_C0540,UTI89_C4547,UTI89_C0719
UTI89_C0540,UTI89_C4547,UTI89_C0717
UTI89_C0540,UTI89_C4547,UTI89_C0720
UTI89_C4287,UTI89_C1975,UTI89_C2053
UTI89_C4287,UTI89_C1975,UTI89_C2054
UTI89_C4287,UTI89_C1975,UTI89_C4503
UTI89_C4287,UTI89_C2053,UTI89_C3309
UTI89_C4287,UTI89_C2054,UTI89_C3309
UTI89_C4287,UTI89_C3309,UTI89_C4503
UTI89_C4286,UTI89_C1975,UTI89_C2053
UTI89_C4286,UTI89_C1975,UTI89_C2054
UTI89_C4286,UTI89_C1975,UTI89_C4503
UTI89_C4286,UTI89_C2053,UTI89_C3309
UTI89_C4286,UTI89_C2054,UTI89_C3309
UTI89_C4286,UTI89_C3309,UTI89_C4503
UTI89_C4291,UTI89_C1975,UTI89_C2053
UTI89_C4291,UTI89_C1975,UTI89_C2054
UTI89_C4291,UTI89_C1975,UTI89_C4503
UTI89_C4291,UTI89_C2053,UTI89_C3309
UTI89_C4291,UTI89_C2054,UTI89_C3309
UTI89_C4291,UTI89_C3309,UTI89_C4503
UTI89_C4292,UTI89_C1975,UTI89_C2053
UTI89_C4292,UTI89_C1975,UTI89_C2054
UTI89_C4292,UTI89_C1975,UTI89_C4503
UTI89_C4292,UTI89_C2053,UTI89_C3309
UTI89_C4292,UTI89_C2054,UTI89_C3309
UTI89_C4292,UTI89_C3309,UTI89_C4503
UTI89_C4285,UTI89_C1975,UTI89_C2053
UTI89_C4285,UTI89_C1975,UTI89_C2054
UTI89_C4285,UTI89_C1975,UTI89_C4503
UTI89_C4285,UTI89_C2053,UTI89_C3309
UTI89_C4285,UTI89_C2054,UTI89_C3309
UTI89_C4285,UTI89_C3309,UTI89_C4503
UTI89_C4293,UTI89_C1975,UTI89_C2053
UTI89_C4293,UTI89_C1975,UTI89_C2054
UTI89_C4293,UTI89_C1975,UTI89_C4503
UTI89_C4293,UTI89_C2053,UTI89_C3309
UTI89_C4293,UTI89_C2054,UTI89_C3309
