Rv1295,Rv1559
Rv1559,Rv1296
Rv1448c,Rv1408
Rv2397c,Rv1739c
Rv2400c,Rv1739c
Rv2398c,Rv1739c
Rv1739c,Rv2399c
Rv1408,Rv1445c
Rv1236,Rv0946c
Rv1236,Rv1099c
Rv1236,Rv0363c
Rv1238,Rv0946c
Rv1238,Rv1099c
Rv1238,Rv0363c
Rv1237,Rv0946c
Rv1237,Rv1099c
Rv1237,Rv0363c
Rv3307,Rv3624c
Rv0505c,Rv3042c
Rv2945c,Rv3356c
Rv1822,Rv2746c
Rv0489,Rv1437
Rv0489,Rv1436
Rv1437,Rv1023
Rv0728c,Rv2996c
Rv1604,Rv2701c
Rv0649,Rv2243
Rv2883c,Rv1712
Rv0295c,Rv1373
Rv2754c,Rv2764c
Rv3273,Rv3588c
Rv0112,Rv1511
Rv1602,Rv0808
Rv2439c,Rv2322c
Rv2439c,Rv2321c
Rv1093,Rv0070c
Rv0389,Rv0956
Rv1436,Rv1023
Rv2427c,Rv2322c
Rv2427c,Rv2321c
Rv1483,Rv0098
Rv2682c,Rv3379c
Rv3565,Rv0337c
Rv1658,Rv1001
Rv1659,Rv1001
Rv1609,Rv2859c
Rv2182c,Rv2483c
Rv3826,Rv1529
Rv0904c,Rv3281
