EX_ala__D_e,DALAt2pp
EX_fe2_e,EX_fe3_e
EX_fe3_e,EX_o2_e
EX_fe3_e,FE2tex
EX_fe3_e,O2tex
EX_o2_e,EX_succ_e
EX_o2_e,CPPPGO2
EX_o2_e,ENO
EX_o2_e,GAPD
EX_o2_e,OPHHX3
EX_o2_e,PGK
EX_o2_e,PGM
EX_o2_e,PPC
EX_o2_e,PPPGO3
EX_o2_e,SUCCtex
EX_succ_e,FUM
EX_succ_e,O2tex
EX_succ_e,O2tpp
3HAD100,ACACT1r
3HAD100,ACACT2r
3HAD100,ACACT3r
3HAD100,ACACT4r
3HAD100,ACOAD1f
3HAD100,ACOAD2f
3HAD100,ACOAD3f
3HAD100,ACOAD4f
3HAD100,ECOAH1
3HAD100,ECOAH2
3HAD100,ECOAH3
3HAD100,ECOAH4
3HAD100,HACD1
3HAD100,HACD2
3HAD100,HACD3
3HAD100,HACD4
3HAD120,AACPS7
3HAD120,FACOAE120
3HAD160,AACPS3
3HAD160,FACOAE160
3HAD161,AACPS4
3HAD161,CTECOAI7_copy1
3HAD161,FACOAE161
3HAD40,ACACT1r
3HAD40,ACACT2r
3HAD40,ACACT3r
3HAD40,ACOAD1f
3HAD40,ACOAD2f
3HAD40,ACOAD3f
3HAD40,ECOAH1
3HAD40,ECOAH2
3HAD40,ECOAH3
3HAD40,HACD1
3HAD40,HACD2
3HAD40,HACD3
3HAD60,ACACT1r
3HAD60,ACACT2r
3HAD60,ACACT3r
3HAD60,ACOAD1f
3HAD60,ACOAD2f
3HAD60,ACOAD3f
3HAD60,ECOAH1
3HAD60,ECOAH2
3HAD60,ECOAH3
3HAD60,HACD1
3HAD60,HACD2
3HAD60,HACD3
3HAD80,ACACT1r
3HAD80,ACACT2r
3HAD80,ACACT3r
3HAD80,ACOAD1f
3HAD80,ACOAD2f
3HAD80,ACOAD3f
3HAD80,ECOAH1
3HAD80,ECOAH2
3HAD80,ECOAH3
3HAD80,HACD1
3HAD80,HACD2
3HAD80,HACD3
3OAR100,ACACT1r
3OAR100,ACACT2r
3OAR100,ACACT3r
3OAR100,ACACT4r
3OAR100,ACOAD1f
3OAR100,ACOAD2f
3OAR100,ACOAD3f
3OAR100,ACOAD4f
3OAR100,ECOAH1
3OAR100,ECOAH2
3OAR100,ECOAH3
3OAR100,ECOAH4
3OAR100,HACD1
3OAR100,HACD2
3OAR100,HACD3
3OAR100,HACD4
3OAR120,AACPS7
3OAR120,FACOAE120
3OAR160,AACPS3
3OAR160,FACOAE160
3OAR161,AACPS4
3OAR161,CTECOAI7_copy1
3OAR161,FACOAE161
3OAR40,ACACT1r
3OAR40,ACACT2r
3OAR40,ACACT3r
3OAR40,ACOAD1f
3OAR40,ACOAD2f
3OAR40,ACOAD3f
3OAR40,ECOAH1
3OAR40,ECOAH2
3OAR40,ECOAH3
3OAR40,HACD1
3OAR40,HACD2
3OAR40,HACD3
3OAR60,ACACT1r
3OAR60,ACACT2r
3OAR60,ACACT3r
3OAR60,ACOAD1f
3OAR60,ACOAD2f
3OAR60,ACOAD3f
3OAR60,ECOAH1
3OAR60,ECOAH2
3OAR60,ECOAH3
3OAR60,HACD1
3OAR60,HACD2
3OAR60,HACD3
3OAR80,ACACT1r
3OAR80,ACACT2r
3OAR80,ACACT3r
3OAR80,ACOAD1f
3OAR80,ACOAD2f
3OAR80,ACOAD3f
3OAR80,ECOAH1
3OAR80,ECOAH2
